CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,280.0,23389.0,24392.0,12.00,2733.0,2080.0,2.000,293.0,299.0,13.00,5461.0,4427.0,10.00,2607.0,2093.0,170.0,146722.0,128581.0,86.00,74717.0,55902.0,474269.0
Congressional District 2,293.0,11423.0,12779.0,15.00,1703.0,1331.0,1.000,182.0,154.0,9.000,2961.0,2400.0,8.000,1546.0,1286.0,94.00,91890.0,80839.0,533.0,124173.0,87844.0,421464.0
Congressional District 3,218.0,22729.0,23241.0,15.00,2582.0,2151.0,2.000,209.0,184.0,16.00,4858.0,3995.0,7.000,2734.0,2166.0,215.0,168116.0,149862.0,77.00,63120.0,45923.0,492420.0
Congressional District 4,345.0,23866.0,23976.0,10.00,5277.0,3881.0,3.000,372.0,311.0,26.00,6850.0,5610.0,14.00,6150.0,6002.0,54.00,68387.0,59357.0,140.0,170929.0,126686.0,508246.0
Congressional District 5,687.0,33906.0,35556.0,28.00,4880.0,4124.0,1.000,331.0,333.0,24.00,5923.0,5424.0,34.00,5570.0,5186.0,143.0,81243.0,81369.0,284.0,171939.0,138932.0,575917.0
Congressional District 6,399.0,29339.0,28391.0,22.00,5371.0,4545.0,1.000,299.0,298.0,29.00,9647.0,7980.0,66.00,14002.0,13033.0,231.0,172742.0,158846.0,37.00,36501.0,27853.0,509632.0
Congressional District 7,901.0,33580.0,33180.0,67.00,6089.0,5091.0,3.000,428.0,383.0,100.0,18282.0,15252.0,140.0,19832.0,19127.0,290.0,123168.0,112492.0,219.0,55160.0,41262.0,485046.0
Congressional District 8,225.0,11338.0,12481.0,8.000,1838.0,1455.0,2.000,224.0,191.0,5.000,3780.0,2986.0,7.000,2214.0,1785.0,139.0,142465.0,126404.0,112.0,72207.0,50861.0,430727.0
Congressional District 9,205.0,22902.0,25653.0,4.000,1282.0,1234.0,0.00,243.0,229.0,33.00,7239.0,6729.0,7.000,1795.0,1533.0,233.0,196382.0,177050.0,7.000,14733.0,11393.0,468886.0
Congressional District 10,291.0,22776.0,24030.0,11.00,2303.0,1962.0,1.000,193.0,182.0,30.00,5196.0,4355.0,16.00,3123.0,2624.0,234.0,162806.0,147606.0,78.00,62363.0,45434.0,485614.0
Congressional District 11,257.0,22390.0,23181.0,23.00,4027.0,3237.0,1.000,360.0,339.0,26.00,10526.0,8761.0,16.00,4962.0,4264.0,204.0,186357.0,169672.0,70.00,48016.0,35106.0,521795.0
Congressional District 12,664.0,20283.0,22009.0,19.00,2181.0,1603.0,1.000,231.0,206.0,17.00,3820.0,3153.0,18.00,2592.0,2006.0,195.0,127745.0,112109.0,457.0,81048.0,56699.0,437056.0
Congressional District 13,410.0,24526.0,23188.0,21.00,4961.0,3646.0,1.000,293.0,280.0,21.00,9143.0,7454.0,19.00,3796.0,3342.0,82.00,70136.0,62032.0,262.0,173968.0,126192.0,513773.0
Congressional District 14,103.0,19707.0,21081.0,7.000,1355.0,1101.0,0.00,197.0,193.0,13.00,6935.0,6241.0,2.000,1252.0,989.0,165.0,170078.0,149918.0,24.00,19977.0,14816.0,414154.0
TOTAL,5278.0,322154.0,333138.0,262.0,46582.0,37441.0,19.00,3855.0,3582.0,362.0,100621.0,84767.0,364.0,72175.0,65436.0,2449.0,1908237.0,1716137.0,2386.0,1168851.0,864903.0,6738999.0
