PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
CHALYBEATE,67.31,69.00,0.00,68.04
GILL I,55.95,55.43,0.00,55.58
GILL II,51.98,62.39,100.0,58.11
7TH-ODESSADALE,62.32,71.14,100.0,67.01
8TH-GREENVILLE,53.21,60.96,100.0,57.59
LONE OAK,58.94,63.52,0.00,61.32
LUTHERSVILLE,52.14,58.01,0.00,55.14
UPPER 9TH -ALVATON,54.22,61.65,0.00,57.94
MIDDLE 9TH-GAY,64.40,61.03,0.00,62.69
LOWER 9TH-WOODBURY,58.61,66.85,0.00,63.10
2ND-WARM SPRINGS,60.42,64.50,0.00,62.66
THIRD-DURAND,56.25,62.11,0.00,59.42
RALEIGH,65.93,64.94,0.00,65.41
COVE,72.12,68.93,0.00,70.53
TOTAL,56.63,61.72,36.36,59.37
