PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
NORTH BALDWIN,48.39,66.41,44.44,0.0,50.0,74.18,35.51,70.49
WEST BALDWIN,16.67,68.93,33.33,0.0,30.0,73.35,35.14,69.29
EAST HARDWICK,50.0,49.27,100.0,0.0,50.0,47.16,15.87,47.24
WEST HARDWICK,0.0,62.19,55.56,16.67,50.0,61.35,28.7,60.4
COOPERS,66.67,66.77,71.43,0.0,50.0,71.27,26.15,68.09
88888,0.0,50.0,0.0,0.0,0.0,inf,inf,150.0
SOUTH MILLEDGEVILLE,35.29,57.93,64.71,25.0,83.33,57.18,26.42,56.08
CITY HALL ANNEX,12.5,50.46,40.0,0.0,44.44,54.84,17.65,49.89
BODDIE,50.0,46.76,50.0,0.0,29.41,53.01,26.39,47.0
COURTHOUSE,42.86,61.48,21.43,0.0,50.0,54.37,30.77,53.62
FIRE DEPT,23.08,61.34,60.0,50.0,41.67,54.29,36.21,57.0
NORTH MILLEDGEVILLE,44.74,66.51,68.42,57.14,33.33,70.88,39.44,67.77
MERIWEATHER,50.0,69.84,60.0,25.0,62.5,72.58,41.96,70.2
EAST BALDWIN,20.0,65.96,42.86,37.5,18.18,73.71,43.84,69.28
TOTAL,39.8,60.77,53.25,30.56,43.75,69.13,33.17,63.58
