PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
MORELAND,64.3,65.56,50.0,64.94
PINE ROAD,61.92,62.2,50.0,62.05
DRESDEN,62.92,61.64,0.0,62.19
NEWNAN,50.0,54.5,0.0,52.56
SHARPSBURG,62.35,64.99,44.44,63.69
FISCHER ROAD,60.43,59.74,62.5,60.08
CEDAR CREEK,65.76,64.88,18.18,65.2
GRANTVILLE,53.9,57.62,60.0,55.93
HARALSON,61.41,64.05,50.0,62.76
WELCOME,60.98,63.02,50.0,62.03
PANTHER CREEK,56.26,58.03,40.0,57.16
RAYMOND,62.21,63.78,100.0,63.06
TURIN,63.91,65.28,33.33,64.54
SMOKEY ROAD,50.0,58.88,66.67,54.72
CENTRAL,37.18,44.34,50.0,41.44
ARTS CENTRE,58.69,61.83,52.63,60.35
GREENTOP,56.88,59.72,0.0,58.43
EXPO CENTER,60.49,59.36,100.0,59.88
WHITE OAK,59.7,61.53,45.45,60.62
MADRAS,61.57,62.88,63.64,62.26
CANNONGATE,65.98,68.22,87.5,67.18
WESTSIDE,48.25,56.01,0.0,52.57
NORTHSIDE,61.11,67.0,100.0,64.24
THOMAS CROSSROADS,62.22,65.32,75.0,63.82
COWETA CENTRAL,65.58,68.5,33.33,66.97
JEFFERSON PARKWAY,41.31,46.36,42.11,44.15
88888,16.67,0.0,0.0,11.11
99999,0.0,0.0,0.0,0.0
TOTAL,57.76,59.94,49.68,58.91
