-,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE AMERICAN UNKNOWN,NATIVE AMERICAN FEMALE,NATIVE AMERICAN MALE,LATINO UNKNOWN,LATINO FEMALE,LATINO MALE,ASIAN-PACIFIC UNKNOWN,ASIAN-PACIFIC FEMALE,ASIAN-PACIFIC MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
25-29,0.0,33.0,38.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,19.0,13.0,0.0,1.0,4.0,0.0,332.0,296.0,0.0,113.0,96.0,953.0
30-34,0.0,24.0,25.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,5.0,1.0,0.0,297.0,239.0,0.0,99.0,61.0,776.0
35-39,0.0,29.0,24.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,11.0,6.0,0.0,3.0,2.0,0.0,320.0,273.0,0.0,102.0,67.0,843.0
40-44,0.0,31.0,29.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,2.0,1.0,0.0,335.0,289.0,0.0,101.0,62.0,866.0
45-49,0.0,17.0,21.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,1.0,0.0,1.0,370.0,303.0,0.0,100.0,86.0,920.0
50-54,0.0,33.0,39.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,8.0,0.0,5.0,4.0,0.0,359.0,334.0,0.0,93.0,69.0,953.0
55-59,0.0,26.0,38.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,0.0,3.0,1.0,0.0,389.0,359.0,0.0,95.0,99.0,1023.0
60-64,0.0,21.0,24.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,444.0,367.0,0.0,96.0,73.0,1038.0
65-OVER,0.0,47.0,58.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,2.0,3.0,0.0,1139.0,991.0,0.0,260.0,162.0,2674.0
TOTAL,0.0,261.0,296.0,0.0,22.0,14.0,0.0,3.0,3.0,0.0,72.0,63.0,0.0,23.0,18.0,1.0,3985.0,3451.0,0.0,1059.0,775.0,10046.0
