PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
BURNT HICKORY PARK,62.5,63.97,72.73,63.28
MOSES MIDDLE SCHOOL,57.21,61.34,75.0,59.39
WEST RIDGE CHURCH,54.95,57.56,54.55,56.34
WATSON GOVT COMPLEX,48.67,51.75,44.44,50.33
SARA RAGSDALE ELEM,51.79,55.47,50.0,53.74
PAULDING CO HIGH,51.68,55.03,57.14,53.48
HIRAM HIGH SCHOOL,49.09,55.36,66.67,52.6
TAYLOR FARM PARK,54.96,60.26,56.52,57.77
AUSTIN MIDDLE SCHOOL,54.12,59.24,33.33,56.83
NEBO ELEM SCHOOL,54.82,55.98,22.22,55.39
CARL SCOGGINS MIDDLE,57.2,59.32,25.0,58.28
88888,5.26,21.05,inf,14.47
99999,0.0,25.0,0.0,20.0
TOTAL,53.93,57.35,53.33,55.75
