AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,15.38,26.92,25.0,27.27,38.46,34.59,19.75,31.16
25-29,20.0,33.33,36.36,0.0,18.18,37.13,19.11,34.18
30-34,40.0,35.29,28.57,50.0,0.0,44.65,31.17,42.91
35-39,22.22,30.77,30.77,0.0,33.33,49.74,28.07,47.46
40-44,41.67,44.44,47.06,66.67,25.0,57.53,21.51,54.87
45-49,42.86,46.67,52.17,0.0,40.0,62.6,35.29,60.4
50-54,71.43,42.86,70.59,75.0,55.56,69.11,32.8,66.53
55-59,46.15,46.15,63.64,50.0,66.67,68.64,41.38,66.76
60-64,40.0,73.33,36.36,100.0,60.0,74.01,40.91,72.01
65-OVER,60.0,75.68,68.97,66.67,57.14,74.28,46.8,73.14
TOTAL,39.53,47.85,45.0,46.67,38.16,62.17,30.08,59.25
