PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
ROCKBRIDGE A,6.0,124.0,63.0,0.0,26.0,16.0,0.0,1.0,1.0,0.0,49.0,26.0,0.0,10.0,7.0,1.0,235.0,229.0,3.0,918.0,537.0,2252.0
DACULA,4.0,128.0,126.0,0.0,44.0,25.0,0.0,3.0,2.0,2.0,124.0,92.0,0.0,25.0,30.0,2.0,630.0,609.0,3.0,547.0,332.0,2728.0
SUWANEE A,3.0,42.0,38.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,24.0,16.0,0.0,27.0,17.0,0.0,271.0,216.0,1.0,137.0,68.0,871.0
BAYCREEK A,3.0,81.0,78.0,0.0,11.0,10.0,0.0,0.0,4.0,0.0,19.0,13.0,0.0,14.0,17.0,0.0,543.0,504.0,2.0,254.0,215.0,1768.0
GOODWINS A,4.0,100.0,84.0,0.0,36.0,26.0,0.0,1.0,0.0,1.0,149.0,108.0,0.0,63.0,78.0,1.0,495.0,464.0,2.0,273.0,235.0,2120.0
DULUTH A,10.0,117.0,109.0,1.0,66.0,48.0,0.0,4.0,5.0,0.0,85.0,66.0,2.0,171.0,169.0,3.0,816.0,756.0,1.0,315.0,240.0,2984.0
DUNCANS A,3.0,140.0,109.0,0.0,30.0,24.0,0.0,4.0,1.0,0.0,61.0,45.0,0.0,45.0,28.0,2.0,1076.0,984.0,0.0,187.0,161.0,2900.0
PUCKETTS A,2.0,129.0,127.0,0.0,21.0,21.0,0.0,3.0,1.0,0.0,81.0,66.0,0.0,49.0,37.0,4.0,1212.0,1068.0,1.0,193.0,171.0,3186.0
CATES A,1.0,72.0,43.0,0.0,22.0,9.0,0.0,1.0,2.0,1.0,31.0,19.0,0.0,18.0,13.0,1.0,513.0,437.0,0.0,158.0,106.0,1447.0
BERKSHIRE A,3.0,58.0,48.0,0.0,20.0,13.0,0.0,0.0,2.0,0.0,82.0,62.0,1.0,64.0,65.0,0.0,216.0,185.0,0.0,228.0,125.0,1172.0
BERKSHIRE B,9.0,112.0,93.0,2.0,53.0,52.0,0.0,4.0,7.0,0.0,100.0,55.0,0.0,193.0,222.0,1.0,403.0,370.0,2.0,636.0,379.0,2693.0
DUNCANS C,1.0,89.0,81.0,0.0,11.0,19.0,0.0,2.0,1.0,0.0,35.0,24.0,0.0,31.0,20.0,3.0,733.0,731.0,0.0,110.0,87.0,1978.0
GARNERS A,2.0,69.0,79.0,0.0,27.0,22.0,0.0,1.0,1.0,0.0,38.0,31.0,0.0,56.0,56.0,1.0,864.0,742.0,4.0,182.0,120.0,2295.0
LAWRENCEVILLE A,3.0,65.0,53.0,0.0,22.0,11.0,0.0,1.0,0.0,0.0,72.0,58.0,0.0,20.0,15.0,0.0,512.0,384.0,2.0,311.0,142.0,1671.0
LAWRENCEVILLE B,4.0,132.0,98.0,0.0,42.0,21.0,0.0,7.0,4.0,1.0,107.0,65.0,0.0,54.0,60.0,0.0,471.0,413.0,3.0,739.0,508.0,2729.0
MARTINS A,3.0,75.0,57.0,0.0,31.0,11.0,0.0,0.0,1.0,1.0,139.0,96.0,0.0,47.0,49.0,0.0,167.0,141.0,3.0,419.0,253.0,1493.0
MARTINS B,7.0,63.0,50.0,0.0,17.0,16.0,0.0,2.0,1.0,2.0,122.0,85.0,0.0,59.0,52.0,2.0,248.0,226.0,0.0,359.0,197.0,1508.0
MARTINS C,5.0,54.0,45.0,1.0,21.0,7.0,0.0,2.0,1.0,0.0,122.0,64.0,1.0,29.0,23.0,3.0,355.0,311.0,0.0,228.0,121.0,1393.0
PINKCNEYVILLE A,2.0,72.0,55.0,0.0,20.0,12.0,0.0,0.0,0.0,1.0,157.0,95.0,0.0,34.0,41.0,1.0,116.0,125.0,1.0,331.0,206.0,1269.0
PINCKNEYVILLE B,4.0,69.0,46.0,0.0,28.0,17.0,0.0,4.0,0.0,0.0,126.0,80.0,0.0,88.0,94.0,1.0,199.0,173.0,2.0,340.0,187.0,1458.0
PINCKNEYVILLE C,2.0,58.0,42.0,0.0,13.0,10.0,0.0,2.0,0.0,0.0,29.0,21.0,0.0,39.0,30.0,1.0,476.0,376.0,0.0,122.0,59.0,1280.0
PINCKNEYVILLE D,0.0,45.0,31.0,0.0,17.0,10.0,0.0,1.0,1.0,2.0,149.0,79.0,0.0,45.0,39.0,0.0,88.0,97.0,2.0,211.0,122.0,939.0
SUGAR HILL A,4.0,117.0,86.0,1.0,16.0,12.0,0.0,2.0,2.0,0.0,100.0,63.0,1.0,39.0,32.0,1.0,673.0,588.0,0.0,253.0,153.0,2143.0
SUGAR HILL B,5.0,130.0,118.0,0.0,33.0,26.0,0.0,2.0,0.0,1.0,133.0,91.0,0.0,46.0,47.0,1.0,868.0,778.0,0.0,269.0,168.0,2716.0
HOG MOUNTAIN A,3.0,121.0,91.0,1.0,42.0,21.0,0.0,0.0,1.0,0.0,111.0,87.0,0.0,67.0,62.0,2.0,576.0,508.0,6.0,487.0,296.0,2482.0
HOG MOUNTAIN B,4.0,110.0,105.0,1.0,20.0,10.0,0.0,1.0,4.0,1.0,95.0,59.0,0.0,68.0,52.0,1.0,901.0,789.0,0.0,313.0,230.0,2764.0
ROCKYCREEK A,5.0,167.0,160.0,0.0,40.0,32.0,0.0,0.0,2.0,0.0,87.0,73.0,0.0,30.0,27.0,4.0,984.0,911.0,1.0,468.0,303.0,3294.0
CATES B,1.0,27.0,26.0,0.0,9.0,11.0,0.0,1.0,0.0,0.0,19.0,15.0,0.0,14.0,18.0,0.0,430.0,382.0,0.0,57.0,35.0,1045.0
CATES C,3.0,74.0,50.0,0.0,28.0,14.0,0.0,2.0,2.0,0.0,36.0,18.0,0.0,10.0,4.0,0.0,329.0,284.0,0.0,499.0,289.0,1642.0
HOG MOUNTAIN D,7.0,83.0,76.0,0.0,19.0,14.0,0.0,2.0,2.0,2.0,56.0,34.0,0.0,38.0,40.0,2.0,523.0,497.0,1.0,200.0,148.0,1744.0
BERKSHIRE D,7.0,76.0,66.0,0.0,25.0,22.0,0.0,2.0,0.0,0.0,34.0,37.0,3.0,80.0,94.0,1.0,564.0,523.0,1.0,158.0,111.0,1804.0
BERKSHIRE E,4.0,58.0,55.0,0.0,19.0,14.0,0.0,1.0,1.0,0.0,23.0,18.0,0.0,57.0,69.0,2.0,438.0,392.0,0.0,94.0,75.0,1320.0
BERKSHIRE F,9.0,56.0,40.0,0.0,18.0,9.0,0.0,0.0,3.0,0.0,84.0,54.0,0.0,90.0,85.0,0.0,204.0,155.0,1.0,154.0,121.0,1083.0
CATES D,4.0,83.0,60.0,0.0,27.0,27.0,0.0,1.0,3.0,0.0,36.0,30.0,1.0,59.0,60.0,0.0,604.0,530.0,2.0,289.0,205.0,2021.0
CATES E,2.0,75.0,65.0,0.0,25.0,16.0,1.0,2.0,1.0,0.0,36.0,22.0,0.0,49.0,43.0,1.0,675.0,593.0,0.0,184.0,147.0,1937.0
PINCKNEYVILLE E,2.0,45.0,42.0,0.0,23.0,13.0,0.0,1.0,0.0,0.0,78.0,47.0,1.0,13.0,11.0,1.0,154.0,142.0,2.0,294.0,162.0,1031.0
PINCKNEYVILLE F,1.0,63.0,31.0,0.0,25.0,14.0,0.0,2.0,2.0,1.0,133.0,81.0,0.0,60.0,59.0,1.0,160.0,172.0,0.0,181.0,121.0,1107.0
DUNCANS D,3.0,181.0,162.0,0.0,34.0,28.0,0.0,6.0,1.0,0.0,98.0,68.0,0.0,45.0,25.0,2.0,1442.0,1260.0,1.0,321.0,178.0,3855.0
PINCKNEYVILLE H,5.0,120.0,109.0,0.0,41.0,34.0,0.0,1.0,1.0,0.0,52.0,39.0,1.0,123.0,106.0,2.0,857.0,792.0,2.0,288.0,206.0,2779.0
BAYCREEK B,9.0,200.0,133.0,0.0,42.0,27.0,0.0,2.0,0.0,0.0,58.0,41.0,0.0,17.0,11.0,1.0,545.0,469.0,4.0,1148.0,673.0,3380.0
LAWRENCEVILLE C,3.0,86.0,61.0,0.0,15.0,11.0,0.0,1.0,1.0,1.0,64.0,48.0,0.0,15.0,19.0,1.0,537.0,479.0,1.0,198.0,143.0,1684.0
MARTINS D,4.0,63.0,39.0,0.0,17.0,11.0,0.0,1.0,0.0,0.0,75.0,49.0,1.0,65.0,51.0,1.0,87.0,77.0,1.0,294.0,158.0,994.0
ROCKBRIDGE B,3.0,85.0,80.0,1.0,32.0,19.0,0.0,1.0,2.0,2.0,62.0,35.0,0.0,26.0,23.0,1.0,304.0,267.0,1.0,781.0,460.0,2185.0
GARNERS B,0.0,78.0,69.0,1.0,20.0,18.0,0.0,2.0,1.0,0.0,17.0,14.0,0.0,36.0,30.0,0.0,400.0,356.0,4.0,495.0,388.0,1929.0
CATES F,4.0,53.0,32.0,0.0,16.0,11.0,0.0,1.0,2.0,0.0,25.0,13.0,0.0,23.0,23.0,0.0,423.0,345.0,0.0,104.0,77.0,1152.0
CATES G,2.0,58.0,63.0,1.0,28.0,28.0,0.0,4.0,2.0,0.0,21.0,14.0,1.0,57.0,61.0,2.0,646.0,591.0,3.0,140.0,113.0,1835.0
DULUTH B,7.0,76.0,70.0,0.0,21.0,25.0,0.0,2.0,0.0,0.0,52.0,41.0,2.0,105.0,115.0,0.0,589.0,523.0,1.0,165.0,108.0,1902.0
GARNERS C,2.0,46.0,25.0,0.0,31.0,19.0,0.0,4.0,0.0,0.0,28.0,15.0,0.0,41.0,34.0,1.0,316.0,307.0,0.0,180.0,114.0,1163.0
PINCKNEYVILLE I,4.0,66.0,47.0,0.0,28.0,13.0,0.0,2.0,1.0,1.0,95.0,56.0,0.0,49.0,44.0,0.0,158.0,162.0,1.0,356.0,173.0,1256.0
PINCKNEYVILLE J,5.0,59.0,33.0,0.0,18.0,14.0,0.0,0.0,1.0,0.0,107.0,61.0,1.0,29.0,23.0,2.0,113.0,91.0,2.0,351.0,200.0,1110.0
BERKSHIRE G,2.0,50.0,48.0,0.0,28.0,17.0,0.0,3.0,4.0,1.0,32.0,26.0,0.0,68.0,67.0,0.0,499.0,458.0,0.0,130.0,108.0,1541.0
CATES H,7.0,99.0,64.0,0.0,38.0,24.0,0.0,1.0,2.0,0.0,52.0,29.0,0.0,16.0,13.0,1.0,372.0,290.0,5.0,679.0,372.0,2064.0
SUGAR HILL C,3.0,127.0,123.0,0.0,36.0,25.0,0.0,1.0,2.0,1.0,88.0,73.0,1.0,43.0,43.0,4.0,990.0,918.0,0.0,207.0,161.0,2846.0
SUGAR HILL D,3.0,109.0,104.0,2.0,24.0,22.0,0.0,3.0,2.0,1.0,77.0,65.0,1.0,25.0,16.0,8.0,781.0,703.0,1.0,279.0,182.0,2408.0
DULUTH C,5.0,63.0,53.0,0.0,13.0,11.0,0.0,0.0,3.0,1.0,38.0,23.0,1.0,42.0,17.0,0.0,420.0,393.0,2.0,176.0,82.0,1343.0
DULUTH D,5.0,110.0,86.0,1.0,52.0,28.0,0.0,2.0,3.0,0.0,117.0,91.0,0.0,117.0,118.0,2.0,532.0,522.0,5.0,401.0,225.0,2417.0
PINCKNEYVILLE K,6.0,91.0,54.0,0.0,39.0,21.0,0.0,2.0,0.0,1.0,175.0,86.0,3.0,43.0,57.0,0.0,189.0,168.0,1.0,423.0,249.0,1608.0
PINCKNEYVILLE N,5.0,107.0,69.0,0.0,34.0,16.0,0.0,2.0,2.0,2.0,71.0,43.0,0.0,17.0,16.0,3.0,241.0,178.0,3.0,625.0,337.0,1771.0
LAWRENCEVILLE D,10.0,115.0,77.0,1.0,31.0,13.0,0.0,2.0,0.0,3.0,112.0,60.0,0.0,20.0,20.0,2.0,288.0,247.0,2.0,803.0,387.0,2193.0
LAWRENCEVILLE E,3.0,62.0,47.0,0.0,12.0,13.0,0.0,1.0,0.0,0.0,72.0,34.0,0.0,14.0,15.0,1.0,435.0,389.0,1.0,185.0,121.0,1405.0
PINCKNEYVILLE L,1.0,51.0,44.0,0.0,15.0,12.0,0.0,0.0,1.0,0.0,11.0,15.0,0.0,48.0,28.0,1.0,716.0,693.0,0.0,25.0,26.0,1687.0
PINCKNEYVILLE M,3.0,72.0,75.0,0.0,18.0,17.0,0.0,0.0,1.0,0.0,13.0,14.0,0.0,47.0,43.0,2.0,765.0,704.0,0.0,34.0,28.0,1836.0
GARNERS D,3.0,82.0,50.0,0.0,23.0,17.0,0.0,3.0,0.0,0.0,37.0,25.0,0.0,13.0,6.0,1.0,334.0,278.0,2.0,653.0,419.0,1946.0
BERKSHIRE H,3.0,42.0,37.0,1.0,21.0,14.0,0.0,0.0,5.0,0.0,82.0,70.0,1.0,54.0,55.0,0.0,157.0,141.0,0.0,126.0,86.0,895.0
PINCKNEYVILLE O,5.0,74.0,71.0,1.0,20.0,23.0,0.0,2.0,1.0,0.0,115.0,74.0,1.0,60.0,55.0,0.0,209.0,203.0,3.0,392.0,255.0,1564.0
PUCKETTS E,3.0,156.0,123.0,0.0,38.0,27.0,0.0,2.0,1.0,1.0,94.0,58.0,0.0,103.0,100.0,5.0,686.0,645.0,1.0,461.0,269.0,2773.0
CATES I,3.0,91.0,78.0,0.0,39.0,32.0,0.0,0.0,3.0,0.0,45.0,33.0,0.0,97.0,102.0,2.0,648.0,569.0,2.0,248.0,201.0,2193.0
CATES J,2.0,79.0,79.0,0.0,38.0,30.0,0.0,1.0,0.0,0.0,40.0,18.0,1.0,71.0,78.0,0.0,550.0,468.0,2.0,396.0,268.0,2121.0
GOODWINS B,2.0,89.0,84.0,0.0,31.0,27.0,0.0,1.0,1.0,1.0,56.0,40.0,1.0,55.0,66.0,1.0,742.0,736.0,0.0,195.0,161.0,2289.0
LAWRENCEVILLE F,3.0,111.0,91.0,0.0,41.0,21.0,0.0,1.0,1.0,1.0,116.0,73.0,0.0,40.0,30.0,0.0,294.0,235.0,5.0,657.0,466.0,2186.0
MARTINS E,5.0,151.0,102.0,0.0,50.0,16.0,0.0,1.0,1.0,1.0,130.0,66.0,0.0,65.0,57.0,2.0,161.0,118.0,5.0,979.0,498.0,2408.0
PINCKNEYVILLE P,1.0,63.0,39.0,0.0,19.0,11.0,0.0,0.0,1.0,0.0,30.0,12.0,0.0,19.0,18.0,1.0,458.0,360.0,0.0,198.0,104.0,1334.0
PINCKNEYVILLE Q,3.0,51.0,38.0,0.0,13.0,10.0,0.0,1.0,1.0,2.0,109.0,72.0,0.0,11.0,23.0,0.0,71.0,46.0,2.0,272.0,141.0,866.0
ROCKBRIDGE C,3.0,154.0,109.0,1.0,47.0,29.0,0.0,1.0,4.0,0.0,51.0,26.0,0.0,28.0,30.0,0.0,320.0,293.0,7.0,1152.0,809.0,3064.0
ROCKBRIDGE D,4.0,89.0,68.0,0.0,24.0,20.0,0.0,0.0,1.0,0.0,48.0,35.0,0.0,19.0,16.0,0.0,307.0,251.0,5.0,781.0,474.0,2142.0
GOODWINS C,9.0,142.0,95.0,2.0,32.0,31.0,0.0,4.0,4.0,1.0,131.0,70.0,3.0,134.0,149.0,0.0,567.0,483.0,3.0,584.0,315.0,2759.0
BAYCREEK K,2.0,110.0,85.0,1.0,29.0,15.0,0.0,1.0,0.0,0.0,41.0,33.0,1.0,35.0,45.0,0.0,599.0,540.0,1.0,458.0,331.0,2327.0
CATES K,4.0,67.0,55.0,0.0,23.0,18.0,0.0,0.0,0.0,0.0,33.0,36.0,0.0,39.0,35.0,1.0,546.0,504.0,1.0,163.0,128.0,1653.0
