AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,23.57,46.38,33.96,11.11,30.16,33.95,32.29,36.28
30-34,37.38,54.93,44.13,12.5,43.02,45.29,42.18,46.83
35-39,47.98,68.88,45.95,44.44,58.04,57.63,54.0,59.01
40-44,50.56,73.28,56.28,66.67,64.52,64.99,59.73,65.66
45-49,43.81,77.15,64.52,61.54,56.67,69.53,64.63,69.8
50-54,52.05,79.27,64.13,62.5,68.18,73.72,67.02,73.3
55-59,59.86,81.11,60.78,80.0,64.58,77.35,66.43,76.21
60-64,65.57,86.44,68.87,40.0,76.06,80.97,64.52,79.99
65-OVER,56.3,85.09,59.9,55.56,80.14,80.18,64.21,79.01
TOTAL,49.15,74.55,54.74,46.38,60.11,70.21,58.12,68.78
