AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,19.51,26.99,18.64,33.33,22.78,28.33,13.81,22.94
25-29,23.08,27.9,18.33,30.77,26.15,24.83,15.79,22.6
30-34,22.22,31.51,25.0,16.67,17.31,33.64,21.12,29.78
35-39,20.59,40.3,27.27,50.0,27.27,37.7,27.61,35.2
40-44,22.22,47.9,31.25,50.0,33.33,46.09,34.66,43.16
45-49,39.47,54.55,39.51,60.0,39.29,52.93,39.87,49.81
50-54,55.56,62.89,46.3,50.0,37.5,59.85,42.05,56.65
55-59,63.16,68.18,52.94,57.14,56.67,65.37,45.53,62.53
60-64,40.0,71.33,51.52,66.67,50.0,68.15,46.53,64.93
65-OVER,65.0,72.78,39.62,66.67,63.89,69.76,54.02,67.6
TOTAL,37.69,51.29,31.05,44.44,33.57,52.13,31.38,46.91
