AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,26.5,25.0,33.33,37.5,42.17,24.32,38.64
30-34,20.0,27.45,37.5,0.0,33.33,50.6,33.33,46.71
35-39,37.5,32.84,37.5,0.0,50.0,56.88,33.87,53.37
40-44,25.0,42.03,36.36,100.0,66.67,58.12,27.4,54.44
45-49,25.0,47.92,11.11,0.0,50.0,63.85,27.54,59.87
50-54,22.22,49.41,42.86,50.0,0.0,66.73,32.05,62.89
55-59,14.29,66.22,50.0,0.0,0.0,69.58,38.67,67.18
60-64,77.78,55.29,83.33,100.0,33.33,69.83,28.57,67.48
65-OVER,44.44,65.7,54.55,0.0,50.0,74.67,42.31,73.0
TOTAL,34.48,46.94,39.74,50.0,43.9,64.54,32.22,61.19
