AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,25.35,35.19,31.54,33.33,35.75,35.60,20.86,33.39
25-29,29.41,26.65,28.16,11.76,29.17,37.01,27.91,33.54
30-34,31.82,35.02,27.27,0.00,30.56,45.27,37.47,42.04
35-39,32.08,43.55,39.39,8.330,47.46,50.00,47.88,48.16
40-44,48.15,52.14,46.67,37.50,46.81,56.22,49.13,54.50
45-49,41.03,57.80,47.52,37.50,38.00,61.43,45.34,58.80
50-54,42.86,60.09,47.92,12.50,43.59,65.19,45.88,62.10
55-59,27.91,62.83,49.32,25.00,60.61,69.07,45.53,65.45
60-64,52.94,64.69,48.84,50.00,47.22,72.66,46.26,68.74
65-OVER,49.09,68.38,50.00,75.00,66.07,73.84,44.87,70.76
TOTAL,35.75,48.37,37.88,25.49,40.67,58.09,38.93,53.91
