AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
25-29,0.0,14.13,20.0,0.0,25.0,46.65,14.81,36.35
30-34,0.0,18.75,30.0,0.0,40.0,55.59,28.57,46.4
35-39,50.0,35.63,0.0,0.0,0.0,63.71,28.57,56.74
40-44,100.0,32.47,50.0,0.0,50.0,64.24,51.28,59.11
45-49,50.0,52.7,57.14,0.0,0.0,68.22,28.12,63.49
50-54,50.0,50.0,0.0,0.0,100.0,68.14,53.12,64.96
55-59,0.0,53.42,0.0,0.0,100.0,72.38,27.27,66.6
60-64,100.0,54.12,60.0,0.0,0.0,73.84,52.78,69.55
65-OVER,100.0,62.02,33.33,100.0,100.0,76.14,50.91,73.92
TOTAL,56.25,42.03,33.96,33.33,43.75,68.02,37.39,62.34
