PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
BLUE CREEK,50.00,63.64,53.33,28.57,45.45,64.56,47.24,63.29
BLUE RIDGE,50.00,66.67,63.64,0.00,50.00,60.47,32.88,58.05
HELEN,16.67,40.00,0.00,0.00,50.00,61.58,50.94,59.93
MOSSY CREEK,33.33,27.78,43.48,50.00,20.00,61.68,28.64,58.65
MT YONAH,38.46,49.14,30.43,66.67,50.00,59.05,32.07,56.20
NACOOCHEE,83.33,60.71,100.0,0.00,50.00,70.64,46.99,69.18
ROBERTSTOWN,0.00,0.00,0.00,0.00,0.00,66.15,47.83,64.20
SHOAL CREEK,50.00,17.65,16.67,50.00,50.00,57.23,27.40,53.71
TESNATEE,25.00,42.86,20.00,50.00,100.0,65.96,34.33,63.43
TOWN CREEK,80.00,75.00,55.56,100.0,66.67,63.32,28.00,60.49
WHITE CREEK,33.33,27.27,54.55,0.00,60.00,61.94,30.00,59.61
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,42.42,46.36,39.35,42.31,50.00,62.03,33.66,59.44
