PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
88888,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00
CATAULA,0.00,53.00,45.00,0.00,6.00,3.00,0.00,1.00,2.00,0.00,14.00,18.00,0.00,3.00,5.00,0.00,770.0,729.0,0.00,97.00,110.0,1856.0
ELLERSLIE,1.00,66.00,57.00,0.00,8.00,10.00,0.00,3.00,0.00,0.00,23.00,16.00,0.00,13.00,6.00,1.00,1048.0,1014.0,0.00,207.0,186.0,2659.0
GOODMAN,0.00,41.00,20.00,0.00,2.00,2.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00,1.00,1.00,0.00,378.0,339.0,0.00,152.0,69.00,1009.0
HAMILTON,0.00,41.00,40.00,0.00,7.00,6.00,0.00,0.00,1.00,0.00,12.00,7.00,0.00,2.00,2.00,1.00,584.0,553.0,1.00,244.0,154.0,1655.0
LOWER 19TH,1.00,36.00,39.00,0.00,5.00,3.00,0.00,0.00,0.00,0.00,7.00,7.00,0.00,5.00,3.00,0.00,700.0,699.0,0.00,86.00,68.00,1659.0
MULBERRY GROVE,1.00,38.00,41.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,15.00,13.00,1.00,9.00,3.00,1.00,816.0,806.0,0.00,63.00,59.00,1876.0
PINE MOUNTAIN VALLEY,0.00,16.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,311.0,302.0,0.00,22.00,13.00,688.0
SKINNER,1.00,8.00,12.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,3.00,4.00,1.00,222.0,199.0,0.00,74.00,47.00,576.0
UPPER 19TH,1.00,30.00,25.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,3.00,4.00,0.00,5.00,3.00,0.00,466.0,435.0,0.00,34.00,23.00,1032.0
VALLEY PLAINS,0.00,13.00,9.00,0.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,172.0,147.0,0.00,63.00,43.00,453.0
WAVERLY HALL,0.00,45.00,33.00,0.00,9.00,3.00,0.00,0.00,1.00,0.00,12.00,11.00,0.00,9.00,2.00,1.00,580.0,547.0,0.00,226.0,170.0,1649.0
WHITESVILLE,0.00,24.00,20.00,0.00,1.00,5.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,2.00,0.00,0.00,358.0,352.0,0.00,75.00,51.00,893.0
TOTAL,5.00,412.0,363.0,0.00,44.00,45.00,0.00,4.00,6.00,0.00,92.00,82.00,1.00,53.00,29.00,6.00,6405.0,6122.0,1.00,1344.0,993.0,16007.0
