PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
88888,0.0,0.0,0.0,0.0
ACWORTH 1A,52.14,59.63,66.67,56.2
ACWORTH 1B,49.98,54.4,0.0,52.45
ACWORTH 1C,46.26,53.65,40.0,50.3
ADDISON 01,63.79,68.24,75.0,66.15
AUSTELL 1A,42.27,52.56,0.0,48.06
BELLS FERRY 02,58.23,61.02,100.0,59.71
BELLS FERRY 03,56.69,60.53,57.14,58.66
BIG SHANTY 01,50.77,57.73,40.0,54.27
BIG SHANTY 02,59.63,64.36,25.0,62.01
BAKER 01,50.49,55.44,16.67,53.1
BIRNEY 01,51.08,58.93,75.0,55.55
BIRNEY 02,59.85,65.32,50.0,62.81
BRYANT 01,56.41,66.92,50.0,62.43
BRYANT 02,34.57,45.87,12.5,41.38
BLACKWELL 01,58.76,62.64,100.0,60.79
CHATTAHOOCHEE 01,47.6,50.98,14.29,49.34
CHEATHAM HILL 02,62.85,67.1,75.0,65.01
CHEATHAM HILL 03,68.02,69.24,100.0,68.69
CHALKER 01,45.64,52.11,58.33,49.2
CLARKDALE 01,51.16,57.41,0.0,54.55
CLARKDALE 02,52.93,61.51,66.67,57.58
COOPER 01,45.66,55.76,60.0,51.56
CHESTNUT RIDGE 01,67.43,70.06,0.0,68.74
DICKERSON 01,66.4,70.51,50.0,68.5
DOBBINS 01,36.55,43.4,54.55,40.23
DOWELL 01,63.51,67.34,33.33,65.5
DODGEN 01,68.3,69.91,40.0,69.04
DURHAM 01,62.91,63.91,33.33,63.38
DAVIS 01,64.13,66.23,0.0,65.19
EASTSIDE 01,68.8,71.83,50.0,70.35
EASTSIDE 02,65.86,69.41,100.0,67.72
ELIZABETH 01,41.58,48.0,42.86,44.9
ELIZABETH 02,62.63,65.96,50.0,64.35
ELIZABETH 03,62.82,68.26,50.0,65.72
ELIZABETH 04,54.46,59.9,60.0,57.45
ELIZABETH 05,62.8,67.98,50.0,65.51
EAST PIEDMONT 01,53.01,58.87,0.0,56.14
FAIR OAKS 02,45.44,56.33,63.64,51.3
FAIR OAKS 04,38.1,43.72,40.0,41.23
FULLERS PARK 01,65.01,67.2,100.0,66.15
FORD 01,63.61,65.84,50.0,64.73
FREY 01,63.47,63.03,66.67,63.25
GARRISON MILL 01,65.6,69.26,50.0,67.47
GRITTERS 01,56.08,61.83,0.0,59.02
HARMONY-LELAND 01,55.99,64.87,50.0,61.03
HARRISON 01,67.89,69.93,50.0,68.94
HIGHTOWER 01,65.62,67.5,80.0,66.62
HAYES 01,63.52,65.63,80.0,64.61
KENNESAW 1A,49.72,53.39,25.0,51.69
KENNESAW 2A,52.2,56.49,50.0,54.43
KENNESAW 3A,45.05,54.55,33.33,50.6
KENNESAW 4A,52.35,56.68,50.0,54.65
KENNESAW 5A,57.48,62.17,12.5,59.92
KELL 01,62.23,68.27,0.0,65.33
KEMP 01,64.47,68.82,0.0,66.74
KEMP 02,64.83,66.76,57.14,65.84
KEMP 03,66.46,69.63,71.43,68.08
LASSITER 01,64.67,67.46,66.67,66.1
LINDLEY 01,61.02,67.78,66.67,64.67
LOST MOUNTAIN 01,67.65,71.48,50.0,69.63
LOST MOUNTAIN 02,64.08,66.73,28.57,65.38
LOST MOUNTAIN 03,67.62,70.9,60.0,69.31
LOST MOUNTAIN 04,63.41,68.07,100.0,65.87
MABLETON 01,53.2,62.39,50.0,58.2
MABLETON 02,48.05,53.72,0.0,51.05
MABLETON 03,58.68,64.37,33.33,61.55
MABLETON 04,65.47,69.85,0.0,67.69
MABRY 01,69.86,73.49,33.33,71.62
MACLAND 01,54.33,63.94,50.0,59.51
MURDOCK 01,64.65,66.04,80.0,65.38
MCEACHERN 01,63.05,68.43,60.0,65.96
MCCLESKEY 01,68.19,71.11,0.0,69.71
MCCLURE 01,64.57,67.77,75.0,66.25
MARIETTA 1A,40.65,44.96,46.67,42.94
MARIETTA 2A,71.25,72.2,50.0,71.75
MARIETTA 2B,55.17,60.67,60.0,58.19
MARIETTA 3A,53.09,60.58,20.0,57.56
MARIETTA 4A,76.68,77.73,0.0,77.21
MARIETTA 4B,59.37,63.05,100.0,61.44
MARIETTA 4C,69.66,70.41,0.0,70.06
MARIETTA 5A,46.74,54.87,33.33,51.3
MARIETTA 5B,35.57,43.23,33.33,39.79
MARIETTA 6A,41.26,48.72,75.0,45.37
MARIETTA 6B,64.79,67.62,75.0,66.34
MARIETTA 7A,34.99,40.48,45.45,37.98
MARS HILL 01,58.68,60.74,0.0,59.65
MARS HILL 02,54.09,59.19,50.0,56.75
MT BETHEL 01,65.38,67.18,55.56,66.29
MT BETHEL 03,64.1,68.89,40.0,66.65
MT BETHEL 04,69.96,70.38,28.57,70.08
NORTH COBB 01,56.95,60.52,100.0,58.89
NICKAJACK 01,55.55,61.27,44.44,58.78
NORTON PARK 01,50.05,57.07,50.0,53.88
NICHOLSON 01,59.21,61.67,33.33,60.49
OAKDALE 01,60.69,62.98,37.5,61.87
OREGON 01,68.94,73.09,0.0,71.01
OREGON 02,53.71,62.35,88.89,58.54
OREGON 03,39.22,49.13,14.29,44.67
OREGON 04,54.27,62.02,16.67,58.47
OREGON 05,63.2,69.34,50.0,66.41
PEBBLEBROOK 01,48.39,61.23,0.0,55.32
POWERS FERRY 01,56.73,60.33,40.0,58.64
PINE MOUNTAIN 01,64.12,66.59,50.0,65.37
PINE MOUNTAIN 02,70.36,70.58,33.33,70.44
POST OAK 01,65.22,65.75,57.14,65.47
POPE 01,63.38,66.96,66.67,65.2
PALMER 01,59.92,59.34,50.0,59.62
POWDER SPRINGS 1A,60.3,66.0,100.0,63.53
POWDER SPRINGS 2A,47.89,59.01,23.08,54.1
POWDER SPRINGS 3A,54.27,63.79,33.33,59.56
PITNER 01,56.97,60.48,75.0,58.75
ROCKY MOUNT 01,64.39,67.4,50.0,65.9
RIVERSIDE 01,37.82,52.79,25.0,46.39
ROSWELL 01,66.72,70.49,50.0,68.57
ROSWELL 02,66.47,68.21,71.43,67.36
SANDY PLAINS 01,62.56,66.97,50.0,64.84
SHALLOWFORD FALLS 01,67.7,68.99,50.0,68.32
SIMPSON 01,63.68,66.4,33.33,65.02
SEWELL MILL 01,63.77,68.53,50.0,66.24
SEWELL MILL 03,52.0,54.3,66.67,53.28
SMYRNA 1A,44.66,52.43,42.86,48.95
SMYRNA 2A,46.81,56.61,75.0,52.51
SMYRNA 3A,55.37,60.47,63.64,58.19
SMYRNA 4A,63.66,65.28,44.44,64.53
SMYRNA 5A,50.99,58.8,57.14,55.21
SMYRNA 6A,62.31,66.55,40.0,64.6
SMYRNA 7A,65.93,70.07,22.22,68.14
SOPE CREEK 01,70.42,73.35,0.0,71.84
SOPE CREEK 02,62.26,65.09,50.0,63.66
SOPE CREEK 03,61.74,62.45,50.0,62.11
SWEETWATER 01,58.13,64.78,100.0,61.73
SWEETWATER 02,41.46,50.76,37.5,47.23
TERRELL MILL 01,45.73,51.82,45.45,49.08
TIMBER RIDGE 01,68.19,70.69,33.33,69.42
VAUGHAN 01,64.72,65.79,66.67,65.28
VININGS 01,51.99,58.65,100.0,55.58
VININGS 02,49.24,54.59,80.0,52.21
VININGS 03,56.53,59.26,28.57,58.04
VININGS 04,63.74,66.04,40.0,64.95
WADE GREEN 02,57.15,64.53,50.0,61.05
WILLEO 01,65.83,69.83,50.0,67.82
TOTAL,56.81,61.49,48.86,59.31
