AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,25.0,0.0,20.83,0.0,0.0,16.92,13.54,16.13
25-29,16.67,14.29,26.67,40.0,25.0,20.47,14.06,19.54
30-34,0.0,20.0,0.0,0.0,75.0,35.17,27.27,33.73
35-39,14.29,16.67,25.0,0.0,33.33,44.46,45.05,43.7
40-44,75.0,0.0,33.33,0.0,25.0,51.95,33.77,50.0
45-49,0.0,25.0,0.0,100.0,50.0,56.3,38.0,53.39
50-54,0.0,0.0,50.0,50.0,50.0,59.08,47.78,57.5
55-59,50.0,66.67,0.0,100.0,50.0,65.09,46.39,63.22
60-64,0.0,25.0,16.67,0.0,50.0,71.49,51.81,68.99
65-OVER,28.57,66.67,33.33,50.0,50.0,67.55,63.31,67.03
TOTAL,23.26,26.67,22.86,38.89,35.14,50.16,33.36,47.69
