AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,30.0,36.03,34.38,0.0,46.67,49.23,26.32,43.7
25-29,16.67,49.43,27.78,0.0,0.0,45.78,31.15,45.04
30-34,33.33,52.76,42.86,0.0,100.0,61.13,40.0,58.23
35-39,33.33,57.48,81.82,100.0,25.0,68.47,35.94,63.93
40-44,66.67,61.46,27.27,0.0,0.0,77.28,40.54,71.69
45-49,60.0,70.64,66.67,100.0,100.0,76.56,57.14,74.83
50-54,50.0,73.23,37.5,100.0,33.33,78.49,55.81,76.13
55-59,55.56,71.38,60.0,0.0,100.0,84.15,44.44,79.91
60-64,25.0,79.84,60.0,0.0,100.0,82.83,72.92,81.49
65-OVER,40.0,79.15,83.33,0.0,100.0,84.65,59.55,83.08
TOTAL,41.38,64.84,45.45,33.33,48.89,74.07,43.72,70.45
