PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
03,45.35,57.75,21.21,41.67,45.45,72.40,48.28,66.12
04,45.45,47.83,40.54,0.00,34.88,61.15,23.85,49.32
05,48.72,63.35,47.83,50.00,65.22,75.18,44.36,70.96
07,0.00,63.73,0.00,0.00,62.50,72.31,34.78,66.28
08,0.00,66.67,33.33,0.00,80.00,74.61,38.46,71.84
10,0.00,69.35,0.00,0.00,50.00,74.42,25.00,70.45
11,50.00,53.15,33.33,0.00,71.43,70.57,31.51,65.02
12,33.33,61.59,0.00,100.0,20.00,81.40,52.08,76.49
13,50.00,61.59,50.00,0.00,33.33,73.43,45.61,70.81
14,0.00,63.58,100.0,0.00,80.00,75.00,35.00,67.93
15,0.00,54.55,100.0,0.00,0.00,70.31,40.00,68.76
16,50.00,59.43,12.00,0.00,85.71,67.10,30.30,63.00
18,100.0,68.33,45.45,0.00,50.00,78.82,61.54,74.99
19,50.00,73.42,33.33,0.00,25.00,68.99,53.33,68.44
21,25.00,51.84,33.33,50.00,27.78,59.54,26.58,53.99
22,13.33,58.01,39.13,0.00,56.25,67.98,34.18,62.45
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,43.48,54.54,33.02,28.57,47.96,70.99,36.81,63.28
