,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,MARSHES OF GLYNN,54.51,56.45,33.33,55.51
1,SATILLA MARSH SCHOOL,57.79,57.8,50.0,57.78
2,BLYTHE ISLAND BAPTIST,58.46,61.07,100.0,59.84
3,CHRISTIAN RENEWAL,68.14,68.28,42.86,68.17
4,OGLETHORPE POINT,69.1,70.45,100.0,69.86
5,ST WILLIAMS CHURCH,66.11,68.28,0.0,67.26
6,FIRST BAPTIST,66.03,66.27,81.82,66.21
7,JEKYLL ISLAND,69.3,69.17,0.0,69.23
8,STERLING CH. OF GOD,45.13,46.31,50.0,45.78
9,SE BAPTIST BLDG,46.56,48.78,100.0,47.8
10,CAREER ACADEMY,54.73,56.01,75.0,55.44
11,C B GREER SCHOOL,51.44,53.92,66.67,52.76
12,BALLARD COMMUNITY,44.1,45.57,60.0,44.95
13,NORTHSIDE CHURCH,45.38,51.98,42.86,49.05
14,THE CHAPEL,37.65,43.28,33.33,40.79
15,COLLEGE PLACE,45.65,51.49,50.0,49.07
16,HOWARD COFFIN PARK,40.33,46.06,0.0,43.46
17,BURROUGHS MOLETTE,29.3,40.41,0.0,36.2
18,SELDEN PARK,30.32,40.2,40.0,35.95
19,88888,0.0,0.0,0.0,0.0
20,99999,0.0,0.0,0.0,0.0
21,TOTAL,52.3,54.79,50.0,53.67
