PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
1,25.0,25.0,41.18,100.0,41.67,63.3,51.57,62.0
10,50.0,0.0,40.0,40.0,60.0,63.96,60.29,63.44
11,80.0,60.0,60.0,0.0,60.0,72.94,63.64,72.11
2,0.0,0.0,58.33,0.0,75.0,70.48,60.16,69.48
3,80.0,50.0,58.33,0.0,25.0,72.33,66.67,71.63
4,100.0,0.0,40.0,50.0,50.0,67.93,60.0,67.25
5,0.0,0.0,0.0,100.0,50.0,65.73,57.14,64.77
6,50.0,0.0,40.0,0.0,100.0,71.34,50.72,69.72
7,100.0,100.0,53.85,100.0,66.67,67.26,61.48,66.8
8,25.0,0.0,45.45,100.0,28.57,64.73,56.67,63.74
9,80.0,50.0,57.89,100.0,60.0,71.52,55.8,70.21
TOTAL,55.77,31.25,50.0,58.82,51.67,67.88,58.46,66.95
