,PRECINCT NAME,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,ARNOLD MILL,47.5,62.93,52.99,50.0,61.67,67.54,51.84,65.26
1,AVERY,53.33,65.79,57.14,33.33,62.5,68.93,48.28,66.42
2,BALL GROUND,55.56,51.85,57.58,25.0,53.33,66.3,37.78,63.09
3,BASCOMB,66.67,68.06,53.15,66.67,50.0,63.23,46.99,61.61
4,BELLS,38.51,65.09,42.9,53.85,55.88,55.28,33.06,52.89
5,BOOTH,45.21,58.85,39.22,50.0,52.08,65.52,46.69,62.3
6,BRADSHAW,60.87,71.35,60.78,66.67,64.71,70.14,49.74,68.02
7,BRIDGEMILL,54.17,62.16,44.17,33.33,60.47,64.5,43.31,61.71
8,CANTON,45.0,49.35,37.85,30.0,48.44,60.68,38.39,55.63
9,CARMEL,49.15,48.95,46.8,0.0,60.53,56.02,37.68,52.11
10,WOODSTOCK,36.75,50.0,42.49,28.57,51.58,58.2,39.28,53.97
11,CLAYTON,44.44,64.43,38.57,40.0,42.31,64.2,42.69,61.19
12,CONNS CREEK,75.0,100.0,38.46,0.0,83.33,68.7,35.9,65.19
13,DEER RUN,46.94,66.96,54.93,66.67,65.85,63.07,42.95,60.89
14,DIXIE,40.68,51.17,43.77,28.57,48.89,56.54,37.17,52.97
15,FREEHOME,51.52,63.04,55.43,33.33,56.41,67.87,54.85,66.11
16,HICKORY FLAT,63.86,68.12,52.5,36.36,54.55,64.75,51.37,63.05
17,HIGHTOWER,50.0,57.63,60.38,50.0,60.87,66.91,47.31,64.48
18,HILLSIDE,59.09,79.31,67.92,100.0,53.85,67.25,48.44,65.95
19,HOLLY SPRINGS,42.86,52.71,41.58,50.0,53.33,58.56,32.21,54.43
20,KELLOGG,39.73,54.41,35.11,27.27,56.25,56.61,32.91,52.32
21,LIBERTY,40.7,56.63,42.33,50.0,42.22,56.98,36.78,53.52
22,LITTLE RIVER,48.94,66.87,58.52,60.0,53.92,64.73,48.32,62.27
23,MACEDONIA,63.46,67.9,50.0,60.0,66.67,68.78,54.45,66.82
24,MOUNTAIN ROAD,50.0,73.33,55.0,57.14,42.31,68.01,46.72,65.58
25,OAK GROVE,45.83,56.39,41.35,50.0,41.18,59.27,40.46,56.2
26,R M MOORE,84.62,63.64,32.61,50.0,61.11,66.37,38.62,63.25
27,R T JONES,45.0,44.81,39.05,33.33,51.85,56.66,26.6,50.43
28,ROSECREEK,61.29,67.8,55.0,100.0,66.67,65.35,42.81,63.2
29,SALACOA,75.0,14.29,58.33,0.0,37.5,62.34,41.67,59.27
30,SIXES,56.25,66.29,48.39,80.0,53.33,69.66,47.97,66.82
31,SUTALLEE,75.0,55.0,50.98,0.0,73.33,68.57,41.55,65.47
32,TEASLEY,47.78,59.73,39.78,57.14,56.67,61.06,44.12,58.15
33,TOONIGH,55.38,62.03,51.71,50.0,45.83,60.79,42.82,58.32
34,UNION HILL,51.61,60.23,50.0,100.0,55.17,68.79,53.02,66.68
35,UNIVETER,46.88,52.63,44.64,20.0,61.11,63.51,38.8,60.18
36,VICTORIA,36.67,58.06,50.0,14.29,45.16,62.76,39.92,59.67
37,WALESKA,66.67,34.48,50.0,66.67,56.25,68.36,49.2,65.87
38,WILDCAT,36.84,57.28,57.84,66.67,33.33,63.86,37.04,60.47
39,WOODLANDS,41.49,68.8,53.54,33.33,51.06,61.53,51.72,59.75
40,NEESE,41.94,61.92,45.51,85.71,56.76,58.61,41.51,56.12
41,88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,TOTAL,47.79,58.67,46.68,46.23,53.92,63.16,42.77,59.95
