AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,42.86,31.6,26.09,0.0,42.11,40.95,26.38,36.16
25-29,66.67,35.22,33.33,0.0,22.22,41.06,31.3,38.06
30-34,20.0,45.85,40.0,100.0,50.0,50.93,35.23,48.06
35-39,66.67,53.09,33.33,50.0,30.0,56.78,44.83,54.2
40-44,100.0,57.73,25.0,100.0,33.33,65.11,53.73,62.17
45-49,100.0,63.33,50.0,0.0,100.0,71.06,52.38,68.01
50-54,50.0,66.8,44.44,0.0,66.67,71.21,50.0,68.48
55-59,0.0,73.55,50.0,100.0,50.0,73.11,35.94,70.6
60-64,100.0,73.06,66.67,0.0,100.0,76.74,51.06,74.9
65-OVER,50.0,72.83,66.67,0.0,60.0,76.4,50.89,74.62
TOTAL,50.0,57.89,37.04,54.55,48.57,65.45,40.73,61.48
