,PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
0,102,34.28,44.98,14.71,39.25
1,103,39.87,49.71,22.22,45.41
2,104,41.17,48.79,18.42,45.55
3,105,45.58,58.64,0.0,52.52
4,106,31.32,37.74,6.67,34.84
5,107,59.84,59.73,0.0,59.62
6,108,48.64,60.82,0.0,55.74
7,109,38.78,47.94,0.0,43.04
8,111,38.34,46.71,26.67,43.0
9,112,34.95,43.45,0.0,38.78
10,114,36.86,47.82,37.5,42.87
11,115,35.47,37.06,20.0,36.23
12,201,39.44,49.94,21.74,45.28
13,202,40.17,48.29,17.24,44.55
14,203,36.91,52.14,30.77,44.91
15,204,48.42,55.02,50.0,51.82
16,207,35.82,47.98,10.0,42.21
17,208,37.63,48.57,13.89,43.73
18,210,45.48,51.2,13.64,48.53
19,301,64.1,68.01,16.67,66.09
20,302,33.46,40.85,6.9,37.07
21,303,68.98,66.95,50.0,67.76
22,304,61.42,63.55,100.0,62.59
23,305,77.88,79.57,0.0,78.74
24,306,43.7,52.62,17.65,48.87
25,307,60.02,59.3,40.0,59.58
26,308,41.56,45.92,20.0,43.71
27,309,58.32,65.4,37.5,62.05
28,310,51.85,58.3,33.33,55.24
29,401,58.01,65.07,31.25,61.79
30,402,32.08,42.28,14.0,37.87
31,404,45.65,56.67,21.05,51.75
32,405,56.5,65.84,13.79,61.4
33,406,58.74,66.22,34.78,62.69
34,501,46.53,57.31,14.71,52.41
35,502,47.73,58.17,11.76,53.15
36,503,44.63,56.25,13.51,51.09
37,504,38.61,46.42,20.0,42.89
38,506,39.31,50.7,0.0,45.79
39,507,37.63,50.25,28.57,44.62
40,509,52.44,61.56,30.0,57.5
41,601,40.74,49.63,23.81,45.58
42,603,49.67,55.36,18.52,52.59
43,604,44.36,54.13,14.29,49.75
44,605,45.72,51.34,14.71,48.59
45,607,51.95,62.91,25.0,57.92
46,608,55.28,60.61,0.0,58.1
47,701,61.97,67.01,50.0,64.69
48,702,52.2,55.46,33.33,53.87
49,703,44.5,49.84,28.57,47.41
50,705,54.16,56.78,33.33,55.54
51,706,58.54,61.91,33.33,60.37
52,707,41.23,47.44,37.5,44.69
53,708,57.05,70.62,0.0,63.92
54,709,61.54,65.4,0.0,63.48
55,801,48.21,63.05,20.0,55.25
56,801B,54.39,62.04,100.0,58.44
57,802,51.42,53.18,15.38,52.19
58,803,8.66,10.89,0.0,9.65
59,804,50.27,56.32,23.08,53.29
60,804H,57.79,62.28,22.22,60.01
61,805,54.25,63.05,50.0,59.11
62,806,58.12,62.18,28.57,60.02
63,807,45.87,50.75,11.76,48.09
64,808,57.48,60.15,50.0,58.86
65,809,52.83,66.23,0.0,59.79
66,810,63.3,69.68,0.0,66.49
67,88888,0.0,7.69,0.0,4.35
68,99999,0.0,4.76,0.0,2.33
69,TOTAL,48.23,55.16,19.51,51.86
