PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
01A,62.52,66.32,75.0,64.57
01B,61.69,67.72,42.86,64.69
01C,26.06,41.88,0.0,33.95
01D,56.49,51.83,33.33,53.89
01E,59.34,67.11,46.15,63.16
01F,24.25,33.61,0.0,28.51
01G,40.45,53.5,16.67,47.12
01H,32.64,51.59,0.0,43.01
01I,0.0,0.0,0.0,0.0
01J,30.14,50.6,30.0,41.68
01P,30.56,46.05,0.0,39.22
01R,21.73,35.29,0.0,29.9
01S,34.25,48.63,40.0,41.97
01T,40.57,49.88,66.67,45.05
02A,55.41,55.87,66.67,55.63
02B,23.56,36.98,21.05,28.27
02C,49.85,49.82,50.0,49.83
02D,49.52,53.74,66.67,51.76
02E,64.42,67.71,25.0,66.05
02F1,56.33,59.06,50.0,57.67
02F2,46.67,50.52,100.0,48.76
02G,57.11,59.91,50.0,58.52
02J,52.53,57.48,50.0,54.66
02K,54.78,55.6,62.5,55.17
02L1,53.64,53.86,69.57,53.78
02L2,51.74,48.81,33.33,50.52
02S,45.69,55.91,20.0,50.48
02W,49.46,52.22,33.33,50.51
03A,24.54,33.11,0.0,28.94
03B,25.0,26.67,0.0,25.6
03C,32.71,42.35,11.11,37.51
03D,31.35,33.13,20.0,32.24
03E,28.45,38.56,27.27,33.39
03F,46.84,51.06,28.57,48.56
03G,32.95,37.54,28.57,35.5
03H,30.02,37.67,0.0,33.64
03I,32.22,33.74,36.84,32.85
03L,26.85,36.0,50.0,30.97
03M,41.25,59.28,33.33,48.22
03N,26.85,35.56,35.71,31.32
03P1A,43.89,42.74,40.91,43.3
03P2,44.44,40.0,0.0,42.11
03S,34.2,45.88,0.0,40.05
03T,35.8,43.8,20.0,39.47
04A,32.96,42.6,50.0,37.87
04B,29.85,31.79,39.39,31.31
04C,22.22,35.44,0.0,28.75
04D,34.7,48.2,28.57,41.74
04F,27.71,49.86,33.33,36.99
04G,23.89,41.29,0.0,31.82
04I,11.44,23.72,0.0,14.83
04J,21.57,19.4,12.5,20.22
04K,39.15,52.97,25.0,46.43
04L,39.29,49.39,0.0,44.27
04M,23.94,37.8,0.0,31.14
04S,38.96,52.21,22.22,46.02
04T,35.26,52.45,40.0,44.56
04V,27.93,41.66,12.5,35.16
04W,22.73,27.76,16.0,24.08
04X1,35.44,50.7,16.67,43.38
04X2,36.64,47.99,0.0,41.73
05A1,57.93,62.65,75.0,60.32
05A2,57.27,62.99,72.73,60.14
05B,37.17,47.68,20.0,42.61
05C,37.25,34.15,33.33,35.83
05D,12.76,25.33,0.0,18.18
05F,53.45,60.0,0.0,56.54
05J,54.57,63.69,50.0,59.01
05K,38.19,44.01,21.43,41.22
06B,58.16,61.3,100.0,59.9
06D,60.57,63.86,73.91,62.19
06E,52.94,54.63,80.0,53.71
06F,54.05,57.15,40.0,55.57
06G,60.0,59.78,0.0,59.9
06I,47.48,48.69,41.67,48.03
06J,65.28,65.0,44.44,65.08
06L1,66.67,70.69,33.33,68.62
06L2,66.22,68.64,100.0,67.46
06N,47.66,52.68,100.0,50.3
06Q,47.04,43.03,50.0,45.02
06R,53.55,62.94,62.5,57.64
07A,54.03,56.5,42.11,55.28
07B,69.9,71.95,33.33,70.91
07C,56.02,56.16,18.18,56.0
07D,47.1,51.0,47.06,49.06
07E,59.32,58.94,85.71,59.2
07F,57.91,62.4,66.67,60.28
07H,66.63,67.2,100.0,66.98
07J,53.6,57.5,54.55,55.68
07M,44.29,47.17,40.0,45.83
07N,44.66,46.03,100.0,45.51
08A,60.31,62.47,66.67,61.5
08B,61.81,64.91,60.0,63.42
08C,65.55,66.15,60.0,65.85
08D,69.24,70.56,50.0,69.87
08E,70.7,72.13,71.43,71.44
08F1,73.64,74.23,50.0,73.89
08G,51.99,52.43,85.71,52.32
08H,68.79,68.15,66.67,68.42
08J,68.12,68.87,71.43,68.52
08K,58.17,61.86,0.0,60.19
08L,55.48,57.85,47.06,56.77
08M,66.43,65.55,60.0,65.95
08N1,69.33,71.53,66.67,70.45
08N2,58.88,62.23,50.0,60.9
08P,47.53,52.49,75.0,49.89
