PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
1A,0.0,46.0,46.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,2.0,1.0,1.0,526.0,484.0,0.0,25.0,20.0,1165.0
1B,0.0,46.0,48.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,1.0,541.0,458.0,0.0,12.0,17.0,1138.0
1C,0.0,70.0,75.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,6.0,5.0,0.0,5.0,4.0,1.0,753.0,639.0,0.0,56.0,39.0,1660.0
2A,0.0,68.0,73.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,720.0,686.0,0.0,119.0,86.0,1768.0
2C,0.0,38.0,35.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,456.0,428.0,0.0,15.0,12.0,996.0
2D,1.0,47.0,55.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,415.0,367.0,0.0,44.0,43.0,994.0
3A,0.0,126.0,133.0,0.0,10.0,9.0,0.0,1.0,1.0,0.0,22.0,14.0,0.0,6.0,3.0,1.0,1053.0,892.0,0.0,247.0,165.0,2683.0
3B,0.0,28.0,47.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,2.0,2.0,0.0,475.0,421.0,0.0,16.0,13.0,1016.0
4A,0.0,44.0,41.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,2.0,10.0,0.0,154.0,92.0,0.0,520.0,274.0,1173.0
4B,0.0,52.0,59.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,12.0,6.0,0.0,4.0,4.0,0.0,292.0,220.0,0.0,278.0,175.0,1113.0
5A,0.0,80.0,91.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,28.0,12.0,0.0,2.0,1.0,0.0,743.0,595.0,0.0,213.0,145.0,1919.0
5B,0.0,92.0,87.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,14.0,17.0,0.0,9.0,6.0,1.0,706.0,575.0,0.0,102.0,80.0,1694.0
TOTAL,1.0,737.0,790.0,0.0,46.0,41.0,0.0,4.0,8.0,1.0,123.0,85.0,0.0,37.0,33.0,6.0,6834.0,5857.0,0.0,1647.0,1069.0,17319.0
