PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
88888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLCK,0,44.09,25.21,0,50,40,0,0,0,0,45.45,37.5,0,0,0,0,55.25,54,0,55.56,16.67,51.56
BOYN,75,40.55,41.75,0,30,21.05,0,50,0,0,50,53.33,0,37.04,30.43,66.67,59.53,60.09,0,53.33,52.63,56.61
CAKT,33.33,40,38.82,0,37.5,100,0,0,0,0,44.44,26.32,0,20,0,50,58.91,59.92,0,66.67,63.64,56.6
CHAM,100,48.21,44.93,0,66.67,50,0,0,0,0,50,75,0,100,25,50,67.03,70.01,0,87.5,42.86,65.99
FT O,0,25.64,26.82,0,16.67,38.46,0,25,100,0,29.41,6.67,0,33.33,46.15,25,50.98,54.98,0,54.84,33.33,47.99
GRAY,25,39.42,38.96,0,47.06,27.27,0,50,0,0,36.36,50,0,56.25,35.71,66.67,55.23,56.28,0,48.39,46.15,52.79
LAKE,0,27.18,26.71,0,44.44,20,0,0,50,0,47.06,57.14,0,20,5.88,50,44.73,47.77,0,36.17,36.59,42.49
POPS,0,41.28,38.27,0,0,58.33,0,66.67,0,0,46.67,64.29,0,0,50,40,59.47,60.88,0,70.59,52.17,57.16
RING,50,40.04,43.2,0,45.45,43.75,0,71.43,25,0,41.46,32.26,0,50,36.84,28.57,57.59,60.79,0,61.9,59.46,56.36
WEST,0,36.87,31.88,0,31.25,15,0,0,50,0,36.84,37.5,0,22.22,14.29,50,52.75,52.14,0,41.57,26.15,48.25
WOOD,0,40.51,39.68,0,50,33.33,0,50,0,0,50,33.33,0,25,50,33.33,63.23,61.44,0,90.48,53.13,59.45
TOTAL,42.86,37.44,36.35,0,36.28,34.71,0,47.83,36.36,0.0,42.06,38.56,0,35.82,26.89,42.86,56.33,58.04,0.0,54.32,44.1,53.69
