PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
100,0.0,44.59,3.85,66.67,40.0,36.62,15.7,40.58
200A,45.0,42.08,23.08,0.0,33.33,61.28,20.49,52.53
200B,60.0,46.74,15.38,0.0,22.22,36.57,13.92,39.02
300,62.5,52.94,51.52,40.0,33.33,63.31,25.91,59.12
304,50.0,38.53,63.64,33.33,50.0,56.13,27.0,51.81
400,39.29,55.91,70.59,33.33,29.41,66.35,27.14,62.77
404,0.0,57.14,0.0,0.0,0.0,75.9,54.55,74.54
405,0.0,50.0,33.33,100.0,0.0,68.09,21.88,64.8
406,25.0,45.83,23.08,33.33,50.0,64.6,16.0,60.31
407,0.0,66.67,50.0,0.0,0.0,65.31,18.75,61.75
408,100.0,100.0,36.36,0.0,0.0,68.97,26.47,65.1
409,100.0,55.0,25.0,0.0,28.57,66.58,23.81,62.78
88888,0.0,inf,0.0,0.0,0.0,0.0,0.0,200.0
TOTAL,45.19,45.66,36.47,37.5,33.94,61.68,21.55,54.22
