PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
MIRROR LAKE ELEMENTA,37.00,59.36,38.01,11.11,55.29,54.50,41.64,53.96
WINSTON,40.00,60.66,42.19,28.57,40.00,57.92,44.57,56.92
DOG RIVER LIBRARY,33.33,68.77,44.44,60.00,61.54,67.56,54.49,66.22
COLONIAL HILLS,33.33,43.73,28.67,22.22,33.82,29.77,28.41,39.50
EPHESUS BAPTIST CHUR,22.22,67.45,50.00,25.00,45.95,69.60,51.35,67.19
PRAYS MILL GYM,54.76,61.17,43.08,50.00,42.50,63.17,43.36,59.90
TURNER,61.54,58.16,42.27,50.00,31.58,55.01,35.95,53.52
FIRST BAPTIST LITHIA,20.00,54.55,41.58,50.00,50.00,59.07,30.22,53.57
LITHIA SPRINGS HIGH,45.45,59.58,36.41,57.14,53.85,49.38,43.73,54.96
DEER LICK,31.82,55.67,40.94,25.00,48.48,55.08,43.97,53.20
GOLDEN METHODIST CH,37.50,53.54,40.99,0.00,48.78,42.82,39.29,49.88
OLD COURTHOUSE,46.15,46.50,29.01,0.00,43.88,52.23,32.04,46.41
BEULAH BAPTIST,54.05,60.00,52.81,33.33,47.62,58.57,39.34,56.72
STEWART,33.33,54.18,34.02,28.57,50.00,50.00,38.03,51.19
ARBOR STATION,41.18,53.90,40.00,37.50,45.45,53.34,38.15,51.17
BRIGHT STAR,42.86,53.46,41.03,0.00,54.84,60.61,35.50,55.61
DORSETT SHOALS,50.00,50.99,42.45,33.33,51.02,55.86,32.72,51.88
CHAPEL HILL,55.74,66.06,50.00,50.00,62.32,57.95,51.50,61.30
CHURCH AT CHAPEL HILL,40.96,64.02,54.77,71.43,52.86,62.80,47.91,61.14
CHESTNUT LOG,32.79,62.31,51.27,0.00,43.75,57.35,43.73,57.63
ST JULIANS EPISCOPAL,57.14,56.78,37.50,60.00,57.14,61.94,31.55,56.88
LUTHERAN CHURCH - GS,44.23,67.82,53.61,50.00,70.42,60.92,52.67,62.45
FIRST BAPTIST,50.00,73.41,50.68,33.33,57.58,67.78,55.13,67.83
FACTORY SHOALS,48.00,70.03,40.62,62.50,55.74,56.02,47.59,61.92
BOUNDARY WATERS,41.67,60.98,51.19,12.50,55.56,56.20,47.27,58.35
88888,0.00,3.33,0.00,0.00,0.00,1.25,0.00,1.71
99999,0.00,3.23,0.00,0.00,0.00,0.00,0.00,1.79
TOTAL,42.86,58.21,42.45,34.64,50.70,58.76,41.94,56.06
