PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
1713,2.000,214.0,218.0,0.00,19.00,12.00,0.00,2.000,7.000,0.00,42.00,36.00,0.00,26.00,23.00,3.000,1672.0,1537.0,0.00,264.0,206.0,4283.0
1923,1.000,154.0,150.0,0.00,16.00,15.00,0.00,2.000,5.000,0.00,22.00,15.00,0.00,11.00,4.000,1.000,1203.0,1068.0,1.000,273.0,251.0,3192.0
1933,0.00,142.0,127.0,0.00,14.00,9.000,0.00,3.000,3.000,0.00,20.00,18.00,0.00,15.00,11.00,3.000,1025.0,1003.0,1.000,198.0,132.0,2724.0
1943,1.000,102.0,102.0,0.00,8.000,8.000,0.00,4.000,1.000,0.00,14.00,12.00,0.00,6.000,7.000,0.00,1054.0,971.0,0.00,81.00,52.00,2423.0
2713,5.000,208.0,148.0,0.00,12.00,8.000,0.00,0.00,3.000,0.00,12.00,14.00,0.00,9.000,4.000,2.000,1749.0,1478.0,0.00,15.00,18.00,3685.0
2923,1.000,110.0,120.0,0.00,9.000,9.000,0.00,0.00,2.000,0.00,14.00,10.00,0.00,15.00,7.000,3.000,1218.0,1061.0,0.00,35.00,37.00,2651.0
2933,1.000,181.0,199.0,0.00,13.00,11.00,0.00,1.000,1.000,0.00,24.00,18.00,0.00,17.00,6.000,2.000,2169.0,1716.0,0.00,29.00,35.00,4423.0
2943,3.000,204.0,185.0,0.00,9.000,8.000,0.00,1.000,2.000,1.000,17.00,15.00,0.00,15.00,9.000,7.000,2152.0,1680.0,0.00,60.00,50.00,4418.0
2953,0.00,41.00,43.00,0.00,4.000,1.000,0.00,0.00,0.00,0.00,5.000,3.000,0.00,1.000,0.00,0.00,360.0,305.0,0.00,1.000,3.000,767.0
3713,3.000,205.0,212.0,0.00,18.00,16.00,0.00,3.000,1.000,0.00,46.00,51.00,0.00,27.00,19.00,1.000,1445.0,1171.0,0.00,340.0,256.0,3814.0
3723,0.00,103.0,108.0,0.00,6.000,8.000,0.00,0.00,2.000,0.00,24.00,17.00,0.00,16.00,17.00,1.000,781.0,639.0,0.00,216.0,154.0,2092.0
3733,0.00,136.0,121.0,0.00,10.00,10.00,0.00,1.000,2.000,0.00,36.00,27.00,0.00,13.00,14.00,4.000,1145.0,1029.0,0.00,189.0,149.0,2886.0
3743,2.000,210.0,187.0,0.00,19.00,16.00,0.00,1.000,5.000,1.000,49.00,44.00,0.00,36.00,27.00,3.000,1199.0,1111.0,0.00,261.0,239.0,3410.0
4913,4.000,186.0,179.0,0.00,20.00,12.00,0.00,6.000,4.000,1.000,38.00,38.00,0.00,20.00,31.00,0.00,1253.0,921.0,0.00,360.0,246.0,3319.0
4923,4.000,166.0,171.0,0.00,23.00,18.00,0.00,1.000,0.00,0.00,41.00,37.00,0.00,9.000,17.00,3.000,719.0,617.0,0.00,836.0,559.0,3221.0
4933,1.000,165.0,162.0,0.00,18.00,12.00,0.00,3.000,0.00,0.00,42.00,37.00,1.000,12.00,14.00,1.000,733.0,598.0,0.00,672.0,473.0,2944.0
5913,1.000,116.0,101.0,0.00,11.00,5.000,0.00,3.000,0.00,0.00,28.00,18.00,0.00,12.00,5.000,0.00,620.0,438.0,1.000,589.0,410.0,2358.0
5923,0.00,164.0,149.0,0.00,21.00,15.00,0.00,3.000,2.000,0.00,25.00,20.00,0.00,7.000,6.000,0.00,735.0,678.0,3.000,810.0,563.0,3201.0
5933,3.000,192.0,154.0,0.00,28.00,14.00,0.00,1.000,0.00,0.00,22.00,20.00,0.00,5.000,4.000,0.00,245.0,160.0,4.000,1786.0,1003.0,3641.0
5943,2.000,72.00,84.00,0.00,5.000,6.000,0.00,1.000,0.00,0.00,12.00,9.000,0.00,2.000,2.000,2.000,207.0,182.0,1.000,487.0,314.0,1388.0
88888,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,3.000,5.000,0.00,3.000,2.000,15.00
99999,0.00,2.000,3.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,4.000,0.00,4.000,2.000,25.00
TOTAL,34.00,3074.0,2923.0,0.00,283.0,213.0,0.00,36.00,40.00,3.000,533.0,459.0,1.000,275.0,227.0,36.00,21697.0,18372.0,11.00,7509.0,5154.0,60880.0
