PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
MATTHEWS,0.0,57.79,50.0,0.0,100.0,74.87,41.82,67.39
WRENS,0.0,60.36,25.0,0.0,42.86,69.05,38.6,61.84
LOUISVILLE,37.5,58.17,50.0,0.0,57.14,73.62,36.82,62.1
WADLEY,40.0,56.57,50.0,50.0,100.0,77.26,35.45,60.08
BARTOW,100.0,58.98,0.0,0.0,0.0,76.61,41.18,65.29
STAPLETON,0.0,55.56,0.0,0.0,100.0,66.94,37.04,60.53
AVERA,0.0,52.5,100.0,100.0,100.0,68.73,31.43,63.94
88888,0.0,0.0,0.0,0.0,0.0,300.0,0.0,100.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL,30.0,58.17,41.94,33.33,62.16,72.12,37.45,62.1
