PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
01,1.0,63.0,73.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,329.0,309.0,1.0,88.0,76.0,949.0
02,0.0,80.0,78.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,10.0,4.0,0.0,2.0,1.0,0.0,504.0,532.0,0.0,158.0,109.0,1487.0
03,0.0,150.0,161.0,0.0,13.0,7.0,0.0,1.0,3.0,0.0,8.0,3.0,0.0,5.0,2.0,1.0,562.0,528.0,0.0,316.0,220.0,1980.0
04,0.0,74.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,268.0,263.0,0.0,17.0,18.0,739.0
05,0.0,175.0,188.0,0.0,9.0,6.0,0.0,3.0,0.0,0.0,10.0,5.0,0.0,5.0,4.0,1.0,735.0,704.0,0.0,54.0,54.0,1953.0
06,0.0,334.0,313.0,0.0,17.0,15.0,0.0,2.0,4.0,0.0,24.0,34.0,0.0,15.0,5.0,3.0,975.0,859.0,0.0,215.0,146.0,2961.0
07,2.0,297.0,287.0,0.0,18.0,11.0,0.0,1.0,3.0,0.0,21.0,19.0,0.0,14.0,6.0,1.0,647.0,527.0,0.0,509.0,343.0,2706.0
08,0.0,278.0,246.0,0.0,24.0,13.0,0.0,1.0,3.0,0.0,22.0,16.0,0.0,15.0,10.0,0.0,719.0,600.0,0.0,227.0,185.0,2359.0
09,1.0,781.0,705.0,0.0,54.0,42.0,0.0,6.0,7.0,0.0,108.0,74.0,1.0,71.0,47.0,1.0,2042.0,1688.0,0.0,587.0,434.0,6649.0
10,0.0,330.0,350.0,0.0,20.0,15.0,0.0,3.0,1.0,0.0,45.0,45.0,0.0,10.0,7.0,0.0,638.0,453.0,0.0,323.0,207.0,2447.0
11,2.0,480.0,433.0,0.0,28.0,16.0,0.0,8.0,4.0,0.0,61.0,41.0,0.0,35.0,17.0,0.0,1147.0,914.0,0.0,365.0,254.0,3805.0
12,1.0,196.0,204.0,0.0,14.0,12.0,0.0,0.0,2.0,0.0,22.0,12.0,0.0,10.0,2.0,0.0,759.0,706.0,0.0,127.0,120.0,2187.0
13,1.0,306.0,299.0,0.0,27.0,16.0,0.0,2.0,0.0,0.0,62.0,35.0,0.0,14.0,9.0,1.0,966.0,816.0,0.0,197.0,142.0,2893.0
14,2.0,293.0,287.0,0.0,18.0,10.0,0.0,4.0,3.0,0.0,21.0,24.0,0.0,14.0,10.0,0.0,1261.0,1177.0,0.0,102.0,72.0,3298.0
88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0
99999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
TOTAL,10.0,3837.0,3715.0,0.0,250.0,170.0,0.0,31.0,32.0,0.0,417.0,314.0,1.0,213.0,123.0,8.0,11552.0,10080.0,1.0,3285.0,2382.0,36421.0
