PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
GILL I,20.0,47.79,33.33,0.0,33.33,61.01,35.16,55.58
GILL II,66.67,59.67,0.0,0.0,100.0,58.59,30.61,58.11
7TH-ODESSADALE,0.0,64.95,0.0,100.0,100.0,69.54,46.15,67.01
8TH-GREENVILLE,50.0,55.77,42.86,100.0,66.67,61.8,39.6,57.59
LONE OAK,0.0,62.42,71.43,0.0,50.0,63.03,41.56,61.32
LUTHERSVILLE,50.0,54.57,35.29,33.33,81.82,59.7,32.28,55.14
UPPER 9TH -ALVATON,50.0,57.93,33.33,0.0,0.0,61.36,40.97,57.94
MIDDLE 9TH-GAY,0.0,57.89,100.0,0.0,0.0,65.38,35.0,62.69
LOWER 9TH-WOODBURY,100.0,61.58,0.0,0.0,20.0,67.3,45.98,63.1
2ND-WARM SPRINGS,66.67,54.15,40.0,0.0,77.78,67.64,32.14,62.66
THIRD-DURAND,0.0,49.31,33.33,0.0,25.0,67.46,37.21,59.42
RALEIGH,50.0,44.44,0.0,100.0,100.0,71.39,40.0,65.41
COVE,0.0,0.0,0.0,100.0,100.0,74.6,30.0,70.53
TOTAL,44.83,56.65,41.27,42.86,59.02,63.7,37.14,59.1
