PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88888,0.00,0.00,0.00,0.00,0.00,0.00,33.33,5.560
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ANNX,42.67,68.70,39.20,66.67,52.27,68.58,46.15,65.23
BMS,51.56,72.37,55.11,20.00,56.04,65.85,44.64,64.25
CENT,40.12,64.97,33.14,46.15,52.69,58.40,34.05,56.92
CGTC,42.22,71.70,47.32,100.0,47.37,64.94,42.74,63.37
FMMS,42.17,67.25,43.48,33.33,51.97,60.39,40.15,59.41
HAFS,100.0,64.03,50.00,100.0,83.33,69.85,40.74,67.79
HCTC,36.08,51.91,33.12,44.44,37.50,52.96,27.01,49.14
HEFS,60.00,65.54,44.44,100.0,42.86,73.40,37.74,68.97
HHPC,39.56,51.46,36.96,14.29,36.67,56.09,25.19,50.92
MCMS,47.17,70.90,47.64,44.44,48.00,62.69,44.84,61.42
NSES,40.00,71.51,59.09,0.00,63.16,64.94,31.84,63.53
RECR,42.35,47.82,25.59,43.75,34.21,40.95,21.53,42.84
ROZR,29.45,57.54,47.34,33.33,42.67,66.29,43.17,61.95
TMS,35.21,58.68,31.65,40.00,36.36,52.66,30.19,51.68
TWPK,43.10,63.62,42.22,71.43,43.40,64.34,38.96,61.48
VHS,47.56,66.80,46.90,28.57,58.18,66.00,40.90,63.42
TOTAL,42.48,59.11,40.89,43.28,45.91,61.64,35.90,57.78
