CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,284.0,24539.0,25206.0,13.0,3012.0,2305.0,3.0,388.0,415.0,16.0,6130.0,5032.0,12.0,2927.0,2349.0,220.0,152426.0,133875.0,99.0,76949.0,57513.0,493713.0
Congressional District 2,294.0,12242.0,13583.0,18.0,1886.0,1516.0,2.0,234.0,195.0,10.0,3228.0,2641.0,8.0,1682.0,1420.0,110.0,94202.0,82870.0,515.0,127778.0,91125.0,435559.0
Congressional District 3,235.0,23660.0,24011.0,17.0,2950.0,2408.0,4.0,260.0,249.0,17.0,5367.0,4373.0,6.0,2933.0,2377.0,261.0,172880.0,154359.0,100.0,65574.0,47836.0,509877.0
Congressional District 4,394.0,24960.0,25035.0,19.0,6091.0,4561.0,4.0,423.0,413.0,33.0,7557.0,6212.0,21.0,6701.0,6436.0,71.0,69534.0,60445.0,182.0,176728.0,132586.0,528406.0
Congressional District 5,842.0,34064.0,35409.0,44.0,5684.0,4795.0,1.0,407.0,456.0,30.0,6836.0,6192.0,41.0,6206.0,5816.0,214.0,85737.0,85550.0,398.0,178697.0,145666.0,603085.0
Congressional District 6,466.0,29470.0,28426.0,21.0,5876.0,4923.0,2.0,337.0,330.0,35.0,10561.0,8815.0,73.0,15139.0,14097.0,273.0,176443.0,162698.0,56.0,37784.0,29249.0,525074.0
Congressional District 7,994.0,34492.0,33789.0,75.0,6538.0,5375.0,4.0,481.0,444.0,119.0,20088.0,16869.0,167.0,21931.0,21205.0,361.0,125708.0,115062.0,263.0,57820.0,43721.0,505506.0
Congressional District 8,228.0,11815.0,12874.0,9.0,2144.0,1722.0,3.0,284.0,260.0,8.0,4211.0,3349.0,9.0,2397.0,1931.0,160.0,146676.0,130380.0,133.0,74726.0,52981.0,446300.0
Congressional District 9,231.0,24287.0,26990.0,7.0,1483.0,1396.0,0.0,304.0,286.0,34.0,8093.0,7518.0,8.0,1969.0,1697.0,268.0,203799.0,183815.0,11.0,15191.0,11833.0,489220.0
Congressional District 10,283.0,23323.0,24463.0,12.0,2626.0,2203.0,2.0,245.0,258.0,31.0,5840.0,4920.0,14.0,3499.0,2990.0,277.0,168873.0,152849.0,99.0,64473.0,47026.0,504306.0
Congressional District 11,293.0,23432.0,23930.0,29.0,4450.0,3530.0,0.0,422.0,388.0,33.0,11489.0,9624.0,18.0,5316.0,4630.0,244.0,192092.0,174986.0,88.0,49584.0,36582.0,541160.0
Congressional District 12,616.0,20843.0,22365.0,16.0,2575.0,1894.0,1.0,288.0,267.0,18.0,4331.0,3542.0,19.0,2822.0,2217.0,223.0,132061.0,116356.0,447.0,84089.0,59425.0,454415.0
Congressional District 13,477.0,25738.0,24008.0,22.0,5626.0,4197.0,1.0,385.0,386.0,25.0,10040.0,8322.0,22.0,4085.0,3591.0,91.0,71001.0,62850.0,314.0,180777.0,132327.0,534285.0
Congressional District 14,123.0,20328.0,21643.0,9.0,1526.0,1236.0,1.0,244.0,240.0,16.0,7685.0,6958.0,2.0,1374.0,1069.0,195.0,175568.0,155158.0,32.0,20882.0,15577.0,429866.0
TOTAL,5760.0,333193.0,341732.0,311.0,52467.0,42061.0,28.0,4702.0,4587.0,425.0,111456.0,94367.0,420.0,78981.0,71825.0,2968.0,1967000.0,1771253.0,2737.0,1211052.0,903447.0,7000772.0
