PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
01,0.00,14.89,10.53,0.00,0.00,42.86,0.00,0.00,100.0,0.00,33.33,10.00,0.00,25.00,0.00,0.00,35.57,36.21,0.00,22.24,16.18,28.79
02,0.00,17.74,14.81,0.00,11.11,7.690,0.00,0.00,0.00,0.00,23.81,7.140,0.00,11.11,0.00,0.00,30.97,33.33,0.00,27.62,17.25,26.65
03,0.00,9.090,12.12,0.00,14.29,0.00,0.00,0.00,0.00,0.00,9.090,12.50,0.00,0.00,0.00,0.00,36.14,37.80,0.00,28.39,20.66,31.10
04,0.00,22.81,35.56,0.00,15.38,20.00,0.00,50.00,0.00,0.00,12.50,18.75,0.00,15.79,12.50,0.00,48.06,48.31,0.00,41.77,36.48,43.81
05,0.00,31.37,16.39,0.00,14.29,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,16.67,0.00,0.00,43.69,43.92,0.00,37.18,24.78,37.43
06,0.00,18.92,27.59,0.00,66.67,62.50,0.00,0.00,0.00,0.00,30.00,25.00,0.00,22.22,14.29,0.00,41.80,42.82,0.00,29.29,23.30,37.15
07,0.00,23.73,18.03,0.00,0.00,37.50,0.00,0.00,0.00,0.00,40.00,16.67,0.00,0.00,0.00,0.00,39.87,37.67,0.00,30.89,22.91,30.17
08,0.00,42.42,12.20,0.00,33.33,28.57,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,19.66,20.00,0.00,37.22,31.12,33.46
09,0.00,52.63,26.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.35,40.22,0.00,38.54,36.41,39.06
10,0.00,22.45,7.580,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,15.38,53.85,0.00,28.44,18.97,24.39
11,0.00,0.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,38.88,28.12,33.74
12,0.00,23.53,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,23.08,20.00,0.00,25.29,16.86,21.93
13,0.00,4.350,12.12,0.00,0.00,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.14,9.680,0.00,22.73,12.02,17.52
14,100.0,0.00,6.250,0.00,66.67,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,26.67,0.00,27.65,14.78,21.89
15,0.00,16.67,3.450,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.63,25.75,0.00,15.42,11.41,16.03
16,0.00,0.00,3.450,0.00,8.330,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,6.000,6.900,0.00,10.60,4.530,7.230
17,0.00,12.50,3.850,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,100.0,0.00,0.00,0.00,0.00,43.75,14.29,0.00,25.61,16.97,22.09
18,0.00,21.43,20.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,26.74,0.00,25.63,18.24,22.73
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.46,36.72,0.00,36.09,24.75,31.66
20,100.0,22.58,26.67,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,35.00,36.56,0.00,38.16,31.27,34.96
21,0.00,26.09,13.04,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.84,28.97,0.00,39.69,36.40,32.22
22,0.00,18.97,2.500,0.00,0.00,16.67,0.00,0.00,0.00,0.00,7.690,27.27,0.00,0.00,0.00,0.00,20.64,26.25,0.00,22.46,15.24,19.54
23,0.00,9.090,12.90,0.00,25.00,16.67,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,20.00,0.00,27.05,31.94,0.00,32.42,25.52,28.45
24,0.00,20.83,6.060,0.00,14.29,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,50.00,0.00,19.67,19.23,0.00,24.22,16.98,20.91
25,0.00,27.03,30.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,10.00,0.00,46.03,48.21,0.00,49.12,46.60,45.94
26,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,23.53,0.00,40.98,34.46,37.09
27,0.00,17.86,12.82,0.00,16.67,16.67,0.00,0.00,0.00,0.00,18.18,25.00,0.00,7.690,6.670,0.00,41.80,39.81,0.00,35.32,27.33,36.68
28,0.00,6.900,6.250,0.00,12.50,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,4.760,10.00,0.00,12.41,8.320,10.76
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TOTAL,12.50,19.24,14.35,0.00,13.77,16.22,0.00,8.330,11.11,0.00,14.65,14.29,0.00,10.95,6.500,0.00,37.73,38.86,0.00,28.49,20.98,28.88
