AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,3.960,7.140,0.00,11.11,17.92,10.38,12.51
25-29,0.00,4.030,5.880,0.00,25.00,14.29,6.560,10.50
30-34,0.00,8.580,15.38,0.00,0.00,22.56,19.23,17.82
35-39,0.00,12.07,16.00,0.00,12.50,30.35,4.650,23.43
40-44,25.00,11.80,9.680,0.00,0.00,31.87,30.77,25.56
45-49,14.29,16.47,0.00,0.00,14.29,33.22,25.81,28.51
50-54,50.00,15.93,5.560,0.00,0.00,39.54,20.69,32.47
55-59,0.00,20.25,0.00,0.00,14.29,45.91,35.14,38.48
60-64,14.29,23.47,50.00,0.00,0.00,48.71,20.00,41.80
65-OVER,35.29,25.33,6.250,0.00,10.53,49.89,33.33,44.65
TOTAL,15.71,14.50,8.560,0.00,10.59,36.98,18.22,29.94
