AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,2.680,3.490,0.00,0.00,7.750,0.620,5.860
25-29,0.00,3.700,3.850,0.00,0.00,8.490,4.570,7.400
30-34,0.00,6.340,10.53,0.00,0.00,10.98,12.42,10.50
35-39,0.00,10.45,0.00,0.00,12.50,15.91,8.190,14.10
40-44,0.00,9.240,0.00,0.00,0.00,16.41,2.560,14.32
45-49,0.00,11.01,18.18,0.00,25.00,19.72,8.840,17.94
50-54,0.00,11.03,9.090,0.00,28.57,21.11,8.330,19.16
55-59,0.00,17.05,0.00,0.00,16.67,26.12,11.11,24.00
60-64,22.22,23.73,12.50,0.00,25.00,33.95,11.54,31.54
65-OVER,21.05,31.51,11.11,0.00,30.00,36.61,19.52,35.16
TOTAL,5.410,14.49,5.240,0.00,10.98,22.54,8.220,20.21
