AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,42.86,7.14,20.00,0.00,0.00,6.48,4.10,6.55
25-29,0.00,2.90,0.00,0.00,33.33,4.95,2.73,4.33
30-34,0.00,12.82,0.00,0.00,0.00,6.33,3.33,7.13
35-39,0.00,12.36,0.00,0.00,0.00,7.58,5.56,8.04
40-44,0.00,13.41,0.00,0.00,0.00,7.95,6.15,8.59
45-49,0.00,16.52,0.00,0.00,25.00,13.92,6.45,13.54
50-54,33.33,20.17,0.00,0.00,0.00,11.51,10.98,13.17
55-59,0.00,28.28,0.00,0.00,50.00,18.18,7.04,19.25
60-64,0.00,27.94,0.00,0.00,50.00,19.43,14.29,20.93
65-OVER,0.00,42.62,0.00,0.00,0.00,26.88,9.16,27.75
TOTAL,12.50,21.36,4.55,0.00,18.18,14.94,6.62,15.05
