AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,5.76,0.00,0.00,0.00,4.23,0.00,4.78
25-29,0.00,8.33,40.00,0.00,0.00,8.00,0.00,8.47
30-34,50.00,7.38,0.00,0.00,0.00,6.67,0.00,7.18
35-39,0.00,10.79,0.00,0.00,0.00,9.46,0.00,9.91
40-44,16.67,12.24,0.00,0.00,0.00,9.76,20.00,11.62
45-49,0.00,18.52,0.00,0.00,0.00,13.40,0.00,15.57
50-54,0.00,23.18,0.00,0.00,0.00,11.46,0.00,17.83
55-59,0.00,31.74,0.00,0.00,0.00,26.47,0.00,28.47
60-64,0.00,25.81,0.00,0.00,0.00,27.59,0.00,26.06
65-OVER,0.00,35.43,0.00,0.00,0.00,35.77,15.38,35.08
TOTAL,12.50,20.39,11.11,0.00,0.00,21.45,2.94,20.10
