PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
1038,0.00,45.00,65.00,1.000,4.000,2.000,0.00,0.00,0.00,0.00,1.000,4.000,0.00,0.00,1.000,1.000,379.0,435.0,0.00,2.000,2.000,942.0
1214,0.00,72.00,62.00,0.00,0.00,2.000,0.00,0.00,2.000,0.00,2.000,0.00,0.00,2.000,2.000,0.00,504.0,509.0,0.00,0.00,0.00,1157.0
1222,0.00,98.00,112.0,1.000,2.000,2.000,0.00,0.00,0.00,0.00,2.000,3.000,0.00,3.000,2.000,0.00,877.0,779.0,0.00,1.000,1.000,1883.0
1885,0.00,34.00,30.00,0.00,2.000,1.000,0.00,0.00,3.000,0.00,0.00,0.00,0.00,0.00,1.000,0.00,312.0,274.0,0.00,1.000,0.00,658.0
1889,0.00,93.00,100.0,0.00,2.000,4.000,0.00,0.00,0.00,0.00,6.000,6.000,0.00,4.000,5.000,1.000,543.0,537.0,0.00,3.000,2.000,1306.0
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0.00,0.00,2.000
960,0.00,151.0,210.0,0.00,2.000,3.000,0.00,2.000,5.000,0.00,14.00,11.00,0.00,7.000,3.000,2.000,1306.0,1543.0,0.00,1.000,10.00,3270.0
974,0.00,124.0,135.0,0.00,4.000,4.000,0.00,2.000,0.00,1.000,6.000,4.000,0.00,4.000,6.000,1.000,816.0,716.0,0.00,17.00,13.00,1853.0
99999,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,0.00,0.00,3.000
TOTAL,0.00,617.0,715.0,2.000,16.00,18.00,0.00,4.000,10.00,1.000,31.00,28.00,0.00,20.00,20.00,5.000,4739.0,4795.0,0.00,25.00,28.00,11074.0
