CONGRESSIONAL DISTRICT,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
Congressional District 1,279.0,23338.0,24162.0,12.0,2728.0,2068.0,2.0,292.0,297.0,13.0,5461.0,4422.0,11.0,2609.0,2090.0,170.0,146311.0,127933.0,85.0,74525.0,55464.0,472272.0
Congressional District 2,290.0,11395.0,12458.0,15.0,1693.0,1324.0,1.0,180.0,148.0,9.0,2961.0,2391.0,8.0,1540.0,1280.0,92.0,91558.0,80368.0,523.0,123693.0,86707.0,418634.0
Congressional District 3,217.0,22647.0,23002.0,15.0,2578.0,2139.0,2.0,208.0,182.0,16.0,4846.0,3983.0,7.0,2728.0,2160.0,216.0,167536.0,149122.0,75.0,62867.0,45474.0,490020.0
Congressional District 4,347.0,23628.0,23691.0,12.0,5251.0,3844.0,3.0,371.0,310.0,26.0,6826.0,5566.0,15.0,6121.0,5962.0,55.0,68063.0,58949.0,138.0,169943.0,125644.0,504765.0
Congressional District 5,681.0,33397.0,34546.0,28.0,4843.0,4065.0,1.0,319.0,327.0,24.0,5853.0,5374.0,34.0,5527.0,5125.0,145.0,80455.0,80492.0,279.0,170145.0,135579.0,567239.0
Congressional District 6,391.0,28972.0,27952.0,22.0,5312.0,4496.0,1.0,299.0,291.0,29.0,9591.0,7913.0,65.0,13942.0,12964.0,225.0,171582.0,157779.0,39.0,36075.0,27465.0,505405.0
Congressional District 7,908.0,33416.0,32719.0,67.0,6080.0,5069.0,3.0,426.0,381.0,102.0,18237.0,15168.0,140.0,19799.0,19059.0,289.0,122469.0,111563.0,214.0,54857.0,40592.0,481558.0
Congressional District 8,221.0,11274.0,12262.0,8.0,1835.0,1447.0,2.0,225.0,189.0,5.0,3775.0,2973.0,7.0,2209.0,1775.0,139.0,142039.0,125776.0,108.0,72013.0,50145.0,428427.0
Congressional District 9,206.0,22795.0,25212.0,4.0,1287.0,1223.0,0.0,240.0,221.0,34.0,7238.0,6697.0,7.0,1793.0,1531.0,232.0,195543.0,175651.0,7.0,14660.0,11175.0,465756.0
Congressional District 10,293.0,22653.0,23560.0,11.0,2280.0,1944.0,1.0,191.0,179.0,30.0,5179.0,4334.0,15.0,3105.0,2614.0,232.0,162092.0,146562.0,81.0,62168.0,44734.0,482258.0
Congressional District 11,253.0,22065.0,22592.0,23.0,3986.0,3180.0,1.0,355.0,328.0,25.0,10495.0,8716.0,16.0,4944.0,4247.0,203.0,185511.0,168412.0,67.0,47668.0,34455.0,517542.0
Congressional District 12,645.0,20159.0,21426.0,19.0,2170.0,1592.0,1.0,232.0,205.0,17.0,3815.0,3141.0,18.0,2588.0,2001.0,193.0,127352.0,111468.0,444.0,80773.0,55932.0,434191.0
Congressional District 13,407.0,24326.0,22700.0,20.0,4913.0,3591.0,1.0,293.0,277.0,20.0,9126.0,7438.0,19.0,3783.0,3332.0,81.0,69785.0,61486.0,259.0,172977.0,124540.0,509374.0
Congressional District 14,102.0,19629.0,20898.0,7.0,1347.0,1096.0,0.0,198.0,190.0,13.0,6926.0,6226.0,2.0,1253.0,984.0,164.0,169534.0,149181.0,24.0,19883.0,14669.0,412326.0
TOTAL,5240.0,319694.0,327180.0,263.0,46303.0,37078.0,19.0,3829.0,3525.0,363.0,100329.0,84342.0,364.0,71941.0,65124.0,2436.0,1899830.0,1704742.0,2343.0,1162247.0,852575.0,6689767.0
