AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,6.54,0.00,0.00,0.00,0.00,0.00,4.48
25-29,0.00,9.30,0.00,0.00,0.00,1.47,0.00,6.83
30-34,0.00,7.53,0.00,0.00,0.00,5.00,0.00,6.57
35-39,0.00,13.79,0.00,0.00,0.00,7.78,0.00,11.11
40-44,0.00,16.78,0.00,0.00,0.00,2.53,0.00,11.21
45-49,0.00,20.14,0.00,0.00,0.00,6.60,0.00,14.00
50-54,0.00,23.95,0.00,0.00,0.00,9.35,33.33,18.28
55-59,0.00,17.42,0.00,0.00,0.00,17.82,0.00,17.44
60-64,0.00,23.89,0.00,0.00,0.00,11.38,0.00,18.69
65-OVER,0.00,30.40,0.00,0.00,0.00,19.07,14.29,24.38
TOTAL,0.00,18.59,0.00,0.00,0.00,11.34,6.25,15.44
