PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
1A,0.00,0.00,0.00,0.00
2A,2.050,1.540,0.00,1.780
3A,0.00,0.00,0.00,0.00
4A,0.00,0.00,0.00,0.00
5A,0.00,0.00,0.00,0.00
6A,0.00,0.00,0.00,0.00
88888,0.00,0.00,0.00,0.00
AN,0.00,0.00,0.00,0.00
CA,0.00,0.00,0.00,0.00
CO,14.43,13.28,0.00,13.84
DG,0.00,0.00,0.00,0.00
ES,6.880,7.370,0.00,7.130
FI,0.00,0.00,0.00,0.00
GL,10.94,11.73,0.00,11.37
LT,15.48,16.91,0.00,16.21
MC,0.00,0.00,0.00,0.00
NI,12.07,9.760,50.00,10.87
PG,15.30,13.18,0.00,14.12
TH,0.00,0.00,0.00,0.00
TI,0.00,0.00,0.00,0.00
TR,0.00,0.00,0.00,0.00
UT,13.86,14.32,0.00,14.09
VA,15.15,13.46,0.00,14.25
WS,0.00,0.00,0.00,0.00
TOTAL,5.140,4.780,3.700,4.950
