PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
100,1.000,159.0,179.0,0.00,16.00,8.000,0.00,1.000,1.000,0.00,12.00,16.00,0.00,5.000,2.000,1.000,480.0,369.0,0.00,1995.0,1213.0,4458.0
200A,1.000,97.00,103.0,0.00,11.00,5.000,0.00,1.000,0.00,0.00,11.00,9.000,0.00,14.00,4.000,0.00,871.0,768.0,0.00,386.0,231.0,2512.0
200B,0.00,33.00,47.00,0.00,4.000,1.000,0.00,0.00,0.00,0.00,4.000,8.000,0.00,3.000,2.000,0.00,220.0,170.0,1.000,270.0,151.0,914.0
300,2.000,89.00,140.0,0.00,7.000,3.000,0.00,0.00,4.000,0.00,20.00,9.000,0.00,16.00,15.00,1.000,1538.0,1202.0,1.000,279.0,184.0,3510.0
304,1.000,41.00,55.00,0.00,2.000,3.000,0.00,1.000,2.000,0.00,13.00,6.000,0.00,1.000,2.000,0.00,450.0,387.0,0.00,67.00,40.00,1071.0
400,1.000,92.00,112.0,0.00,10.00,6.000,1.000,0.00,1.000,0.00,8.000,8.000,0.00,13.00,12.00,4.000,1415.0,1253.0,0.00,99.00,80.00,3115.0
404,0.00,3.000,8.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,154.0,146.0,0.00,3.000,4.000,319.0
405,0.00,11.00,14.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,2.000,0.00,1.000,0.00,0.00,266.0,230.0,0.00,3.000,4.000,532.0
406,1.000,39.00,53.00,0.00,1.000,0.00,0.00,1.000,5.000,0.00,5.000,7.000,0.00,4.000,1.000,1.000,751.0,597.0,0.00,30.00,20.00,1516.0
407,0.00,13.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1.000,0.00,1.000,1.000,0.00,229.0,195.0,0.00,1.000,1.000,464.0
408,0.00,13.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.000,5.000,0.00,1.000,1.000,0.00,195.0,212.0,0.00,1.000,0.00,455.0
409,1.000,27.00,34.00,0.00,6.000,3.000,0.00,1.000,0.00,0.00,2.000,2.000,0.00,0.00,1.000,1.000,440.0,345.0,0.00,9.000,10.00,882.0
TOTAL,8.000,617.0,788.0,0.00,57.00,29.00,1.000,6.000,13.00,0.00,81.00,73.00,0.00,59.00,42.00,8.000,7009.0,5874.0,2.000,3143.0,1938.0,19748.0
