AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,2.7,1.9,2.01,5.56,1.55,4.47,1.7,2.58
25-29,0.91,1.52,0.71,0.0,0.67,4.01,1.17,2.22
30-34,0.94,2.46,1.92,0.0,1.33,6.27,2.31,3.74
35-39,5.56,3.74,0.0,0.0,6.25,8.62,3.71,5.44
40-44,8.91,5.66,2.67,0.0,5.0,12.54,2.84,7.88
45-49,3.0,7.29,6.25,14.29,7.27,16.46,3.85,10.7
50-54,5.56,10.13,4.48,22.22,7.69,20.27,4.09,13.76
55-59,6.33,14.1,4.55,22.22,3.7,26.15,6.4,18.66
60-64,10.98,18.13,6.0,0.0,13.51,30.62,9.39,23.29
65-OVER,6.76,23.66,11.48,15.38,9.09,37.37,11.13,30.73
TOTAL,4.92,9.2,3.16,8.08,4.17,21.58,4.32,13.77
