PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
SCOTTSBORO,0.00,24.00,26.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,2.00,2.00,1.00,343.0,291.0,0.00,173.0,126.0,996.0
NORTH BALDWIN,0.00,48.00,77.00,0.00,8.00,7.00,0.00,0.00,1.00,0.00,17.00,10.00,0.00,27.00,30.00,0.00,1335.0,1139.0,1.00,281.0,214.0,3195.0
WEST BALDWIN,0.00,28.00,37.00,0.00,4.00,3.00,0.00,1.00,0.00,0.00,4.00,2.00,0.00,5.00,1.00,0.00,466.0,439.0,0.00,371.0,306.0,1667.0
EAST HARDWICK,1.00,21.00,37.00,0.00,3.00,4.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,2.00,0.00,118.0,102.0,1.00,516.0,361.0,1170.0
WEST HARDWICK,0.00,33.00,58.00,0.00,2.00,1.00,0.00,3.00,1.00,0.00,3.00,6.00,0.00,0.00,2.00,0.00,372.0,268.0,0.00,1134.0,723.0,2606.0
COOPERS,0.00,27.00,31.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,2.00,3.00,0.00,2.00,1.00,0.00,515.0,468.0,0.00,163.0,140.0,1354.0
SOUTH MILLEDGEVILLE,0.00,31.00,20.00,0.00,1.00,1.00,0.00,1.00,2.00,0.00,6.00,6.00,0.00,7.00,11.00,1.00,183.0,152.0,0.00,455.0,261.0,1138.0
CITY HALL ANNEX,0.00,23.00,27.00,0.00,3.00,3.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,3.00,4.00,0.00,171.0,173.0,0.00,236.0,179.0,824.0
BODDIE,1.00,32.00,33.00,0.00,8.00,2.00,0.00,1.00,0.00,0.00,4.00,2.00,0.00,1.00,3.00,0.00,177.0,136.0,1.00,553.0,292.0,1246.0
COURTHOUSE,0.00,12.00,10.00,0.00,2.00,1.00,0.00,0.00,1.00,0.00,9.00,5.00,0.00,5.00,3.00,0.00,144.0,123.0,0.00,73.00,38.00,426.0
FIRE DEPT,0.00,20.00,27.00,0.00,6.00,4.00,0.00,1.00,0.00,0.00,7.00,3.00,0.00,14.00,10.00,1.00,266.0,213.0,0.00,496.0,316.0,1384.0
NORTH MILLEDGEVILLE,0.00,30.00,32.00,0.00,5.00,4.00,0.00,1.00,4.00,0.00,9.00,6.00,0.00,19.00,16.00,2.00,703.0,591.0,0.00,384.0,229.0,2035.0
MERIWEATHER,0.00,47.00,55.00,0.00,7.00,9.00,0.00,2.00,1.00,0.00,18.00,9.00,0.00,9.00,6.00,0.00,926.0,785.0,0.00,321.0,266.0,2461.0
EAST BALDWIN,0.00,55.00,80.00,0.00,7.00,3.00,0.00,5.00,1.00,0.00,4.00,6.00,0.00,4.00,2.00,0.00,1058.0,951.0,0.00,675.0,523.0,3374.0
TOTAL,2.00,431.0,550.0,0.00,58.00,45.00,0.00,16.00,12.00,0.00,86.00,62.00,0.00,100.0,93.00,5.00,6777.0,5831.0,3.00,5831.0,3974.0,23876.0
