AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,0.47,0.74,0.00,4.00,2.41,1.32,1.91
25-29,14.29,0.00,1.30,0.00,0.00,1.94,0.67,1.61
30-34,0.00,0.47,0.00,0.00,9.09,2.62,0.74,2.16
35-39,0.00,0.00,2.33,0.00,0.00,4.83,2.70,3.97
40-44,0.00,0.57,0.00,0.00,11.11,6.60,2.22,5.56
45-49,0.00,2.36,0.00,0.00,0.00,9.11,5.71,7.96
50-54,0.00,1.54,0.00,0.00,20.00,13.53,5.77,11.68
55-59,0.00,2.86,0.00,0.00,0.00,17.10,9.64,14.75
60-64,0.00,4.15,0.00,0.00,0.00,23.26,12.99,20.55
65-OVER,0.00,2.62,4.76,0.00,0.00,27.99,15.85,24.97
TOTAL,1.75,1.65,0.87,0.00,4.59,14.34,4.87,11.97
