PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99999,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
COLWELL,0.00,28.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.0,0.00,0.00,0.00,0.00,24.52,27.21,0.00,0.00,0.00,25.66
FAIRPLAY,0.00,6.25,11.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.46,17.30,0.00,0.00,0.00,15.61
FLINTHILL,0.00,13.04,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.74,22.32,0.00,0.00,0.00,19.72
HEMPTOWN,0.00,17.65,10.71,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.75,21.22,0.00,0.00,0.00,18.86
HOTHOUSE,0.00,10.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,19.28,19.64,0.00,0.00,0.00,19.05
MINERAL BLUFF,0.00,14.81,8.51,0.00,20.00,0.00,0.00,0.00,50.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,18.78,22.07,0.00,0.00,0.00,19.79
MOBILE,0.00,4.76,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,20.71,27.12,0.00,0.00,0.00,22.51
MORGANTON,0.00,0.00,6.00,0.00,25.00,28.57,0.00,50.00,0.00,0.00,0.00,0.00,0.00,60.00,100.0,0.00,21.64,22.12,0.00,0.00,0.00,20.89
NOONTOOTLA,0.00,11.11,17.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.65,25.48,0.00,0.00,0.00,24.45
SKENIAH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.12,31.79,0.00,0.00,0.00,28.97
SUGAR CREEK,0.00,9.38,9.09,0.00,0.00,0.00,0.00,0.00,100.0,0.00,11.11,25.00,0.00,20.00,0.00,0.00,16.28,20.82,0.00,0.00,0.00,17.87
TOCCOA,0.00,4.71,9.80,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,15.14,18.83,0.00,0.00,0.00,16.03
TOTAL,0.00,10.06,10.87,0.00,13.33,6.45,0.00,7.69,30.77,0.00,6.25,5.88,0.00,23.08,8.33,0.00,18.69,21.81,0.00,0.00,0.00,19.45
