AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,0.00,5.26,0.00,0.00,0.00,2.98,0.77,2.61
25-29,0.00,2.84,0.00,0.00,0.00,1.30,0.00,1.25
30-34,0.00,2.00,0.00,0.00,0.00,1.53,1.41,1.45
35-39,0.00,10.00,0.00,0.00,0.00,3.78,0.00,4.50
40-44,0.00,11.11,4.35,0.00,0.00,8.21,0.00,7.51
45-49,0.00,12.36,0.00,0.00,0.00,14.00,0.00,11.15
50-54,0.00,16.67,0.00,0.00,0.00,14.53,0.00,13.13
55-59,50.00,34.25,0.00,0.00,0.00,20.57,0.00,24.34
60-64,0.00,45.90,0.00,0.00,0.00,26.90,30.00,31.11
65-OVER,0.00,43.81,0.00,0.00,0.00,34.24,41.67,36.39
TOTAL,1.59,16.35,0.53,0.00,0.00,11.51,2.11,10.64
