COUNTY NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
,296.0,18541.0,18555.0,7.0,2835.0,2093.0,2.0,213.0,248.0,13.0,5282.0,4102.0,8.0,2475.0,1917.0,148.0,152252.0,130972.0,85.0,77154.0,56381.0,473579.0
,286.0,8065.0,8461.0,12.0,1823.0,1421.0,1.0,159.0,132.0,10.0,3042.0,2481.0,4.0,1611.0,1327.0,78.0,98450.0,85882.0,534.0,130555.0,92957.0,437291.0
,210.0,19615.0,19401.0,18.0,2546.0,2089.0,2.0,152.0,115.0,15.0,4524.0,3666.0,8.0,2552.0,2040.0,199.0,173821.0,153360.0,74.0,63044.0,45845.0,493296.0
,353.0,21069.0,20607.0,14.0,5145.0,3719.0,3.0,310.0,227.0,23.0,5966.0,4588.0,16.0,5496.0,5282.0,53.0,72447.0,62395.0,138.0,170727.0,124766.0,503344.0
,660.0,32246.0,33339.0,21.0,4944.0,4155.0,2.0,269.0,241.0,20.0,5260.0,4705.0,33.0,5246.0,4927.0,127.0,82430.0,81905.0,269.0,176796.0,140003.0,577598.0
,386.0,28425.0,27609.0,27.0,5526.0,4722.0,0.0,234.0,238.0,33.0,8490.0,6806.0,57.0,12534.0,11663.0,239.0,177451.0,161446.0,38.0,37163.0,27664.0,510751.0
,791.0,28761.0,27988.0,57.0,5890.0,4828.0,4.0,372.0,322.0,99.0,15890.0,12796.0,136.0,16589.0,16223.0,313.0,129945.0,117466.0,210.0,53601.0,38553.0,470834.0
,218.0,9489.0,10123.0,11.0,1775.0,1358.0,2.0,178.0,134.0,6.0,3485.0,2722.0,6.0,2127.0,1689.0,135.0,147298.0,128837.0,123.0,72487.0,50536.0,432739.0
,192.0,15393.0,16225.0,4.0,1227.0,1156.0,0.0,176.0,155.0,26.0,6385.0,6120.0,7.0,1698.0,1412.0,206.0,196577.0,175402.0,10.0,14799.0,11043.0,448213.0
,260.0,19610.0,19924.0,9.0,2229.0,1930.0,0.0,162.0,143.0,24.0,4624.0,3789.0,16.0,2962.0,2416.0,212.0,166112.0,149240.0,76.0,62481.0,44908.0,481127.0
,307.0,20003.0,20677.0,28.0,4037.0,3176.0,0.0,274.0,242.0,28.0,9167.0,7493.0,15.0,4485.0,3820.0,197.0,188413.0,169617.0,81.0,47579.0,33906.0,513545.0
,768.0,15955.0,16025.0,22.0,2342.0,1689.0,2.0,182.0,160.0,19.0,3727.0,3012.0,18.0,2520.0,1994.0,206.0,135295.0,118292.0,547.0,85100.0,60258.0,448133.0
,415.0,21869.0,20003.0,15.0,4800.0,3391.0,1.0,204.0,160.0,20.0,7829.0,6183.0,19.0,3584.0,3051.0,89.0,74117.0,64436.0,253.0,169623.0,120384.0,500446.0
,102.0,16893.0,17496.0,6.0,1343.0,1168.0,0.0,138.0,108.0,11.0,6497.0,6153.0,2.0,1210.0,962.0,141.0,176465.0,153706.0,20.0,19546.0,14174.0,416141.0
,5244.0,275934.0,276433.0,251.0,46462.0,36895.0,19.0,3023.0,2625.0,347.0,90168.0,74616.0,345.0,65089.0,58723.0,2343.0,1971073.0,1752956.0,2458.0,1180655.0,861378.0,6707037.0
APPLING,0.0,108.0,113.0,0.0,19.0,16.0,0.0,0.0,3.0,0.0,66.0,51.0,0.0,19.0,19.0,0.0,4125.0,3582.0,0.0,1108.0,834.0,10063.0
ATKINSON,1.0,26.0,21.0,0.0,4.0,4.0,0.0,4.0,1.0,0.0,75.0,59.0,0.0,0.0,2.0,0.0,1570.0,1358.0,1.0,483.0,359.0,3968.0
BACON,0.0,113.0,128.0,0.0,11.0,5.0,0.0,0.0,1.0,0.0,28.0,24.0,0.0,9.0,9.0,0.0,2438.0,2095.0,1.0,500.0,299.0,5661.0
