AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,22.67,26.1,15.05,20.0,17.95,23.11,17.05,22.91
30-34,11.29,32.38,21.63,16.67,29.13,28.58,20.93,28.57
35-39,39.06,37.73,24.8,40.0,36.05,35.9,28.4,35.17
40-44,34.0,48.74,37.04,20.0,32.26,45.57,35.22,45.04
45-49,41.03,56.65,42.02,75.0,47.62,55.38,37.29,53.05
50-54,57.5,63.05,45.52,33.33,48.15,64.09,45.31,60.98
55-59,58.54,70.09,59.15,100.0,32.43,67.49,50.61,66.96
60-64,42.86,75.82,54.95,100.0,52.17,73.35,50.0,71.64
65-OVER,57.89,75.11,54.17,50.0,60.0,73.98,50.55,72.45
TOTAL,39.06,51.86,34.02,39.53,33.93,52.14,31.3,48.59
