AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,226.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,94.0,68.0,0.0,28.0,11.0
30-34,235.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,94.0,71.0,0.0,37.0,13.0
35-39,253.0,0.0,2.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,93.0,85.0,0.0,35.0,19.0
40-44,288.0,0.0,6.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,123.0,84.0,0.0,41.0,21.0
45-49,350.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,129.0,141.0,0.0,38.0,20.0
50-54,361.0,0.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,141.0,132.0,0.0,37.0,29.0
55-59,365.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,149.0,129.0,0.0,41.0,33.0
60-64,404.0,0.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,154.0,130.0,0.0,59.0,43.0
65-OVER,1050.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,460.0,410.0,0.0,91.0,64.0
TOTAL,3532.0,0.0,57.0,74.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,22.0,14.0,0.0,4.0,4.0,0.0,1437.0,1250.0,0.0,407.0,253.0
