AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,50.0,33.65,57.14,0.0,0.0,59.7,40.74,43.33
25-29,0.0,35.17,0.0,0.0,33.33,45.0,30.0,38.69
30-34,0.0,46.33,50.0,0.0,0.0,52.94,56.25,49.0
35-39,100.0,53.41,0.0,0.0,50.0,64.44,41.67,57.75
40-44,0.0,60.35,25.0,0.0,0.0,78.66,45.45,67.81
45-49,0.0,62.65,33.33,0.0,33.33,72.88,50.0,66.88
50-54,50.0,57.67,100.0,0.0,100.0,76.59,57.14,67.25
55-59,100.0,70.82,100.0,0.0,0.0,77.85,33.33,73.72
60-64,0.0,72.8,100.0,0.0,0.0,83.57,50.0,78.82
65-OVER,0.0,63.26,0.0,0.0,0.0,78.08,62.5,72.52
TOTAL,23.53,54.81,42.31,0.0,23.53,71.68,45.24,62.79
