PRECINCT NAME,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
01,50.00,70.93,75.00,100.0,72.22,74.59,66.22,73.56
02,50.00,29.63,66.67,50.00,45.45,78.59,58.49,75.94
03,75.00,79.55,50.00,0.00,33.33,76.85,62.79,75.62
04,0.00,61.36,100.0,0.00,100.0,75.86,61.90,74.18
05,71.43,58.76,71.43,0.00,46.67,78.95,63.64,75.78
06,16.67,64.86,69.23,0.00,50.00,77.78,65.41,76.03
07,53.12,58.62,60.00,0.00,62.50,76.75,69.23,74.53
08,54.55,68.83,69.57,100.0,68.75,76.35,68.70,75.15
09,66.67,62.39,57.38,0.00,33.33,73.73,64.96,71.49
10,67.62,68.87,62.26,33.33,78.12,75.73,64.19,74.00
11,63.38,58.71,41.67,100.0,47.62,74.71,53.64,70.96
12,63.21,69.54,68.09,100.0,50.00,76.25,61.45,74.21
13,61.11,59.38,67.86,0.00,47.06,72.61,54.31,70.06
TOTAL,62.37,63.75,62.43,58.33,56.54,75.94,62.85,73.80
