AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,41.23,46.27,45.72,53.85,39.09,47.04,49.97,47.25
30-34,66.04,62.5,62.31,50.0,61.68,63.49,62.52,63.29
35-39,74.87,68.62,65.7,106.67,64.29,69.04,70.76,69.62
40-44,80.88,71.74,69.77,63.64,71.5,73.66,72.59,73.86
45-49,76.44,70.22,74.03,71.43,70.43,77.01,75.9,76.46
50-54,66.8,71.71,69.97,83.33,69.29,78.65,74.08,77.22
55-59,63.57,72.28,69.77,81.25,61.18,79.11,75.19,77.82
60-64,67.28,72.64,72.05,60.0,77.78,79.15,75.12,78.11
65-OVER,60.0,75.4,65.65,100.0,70.16,79.96,79.56,79.24
TOTAL,71.5,68.66,65.86,73.68,65.67,74.24,71.52,73.27
