AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
18-24,100.0,25.47,35.23,0.0,55.0,50.43,30.89,40.77
25-29,14.29,24.01,28.57,0.0,66.67,47.64,29.76,38.8
30-34,22.22,35.63,35.09,0.0,16.67,58.64,38.46,49.54
35-39,44.44,42.7,25.81,0.0,42.86,66.07,45.83,57.27
40-44,0.0,46.13,31.25,0.0,44.44,66.58,72.22,59.95
45-49,66.67,57.03,56.67,0.0,44.44,70.65,50.0,66.77
50-54,66.67,55.85,41.18,0.0,37.5,68.36,57.58,64.33
55-59,0.0,59.06,36.84,0.0,28.57,73.22,65.71,68.71
60-64,50.0,62.9,55.56,0.0,100.0,77.9,60.61,73.64
65-OVER,55.56,59.94,50.0,0.0,44.44,76.81,56.9,72.92
TOTAL,40.85,46.57,36.12,0.0,46.94,68.02,45.3,60.93
