PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
ODUM,0.00,21.00,15.00,0.00,3.00,2.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,1.00,0.00,398.0,354.0,0.00,10.00,11.00,820.0
MADRAY SPRINGS,0.00,16.00,23.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,2.00,1.00,0.00,380.0,305.0,0.00,7.00,6.00,744.0
OGLETHORPE,0.00,29.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,0.00,3.00,1.00,1.00,500.0,468.0,0.00,22.00,18.00,1083.0
SCREVEN,0.00,31.00,11.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,4.00,0.00,0.00,0.00,0.00,364.0,359.0,0.00,66.00,43.00,882.0
RITCH,0.00,5.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,110.0,106.0,0.00,2.00,2.00,230.0
EMPIRE,0.00,18.00,12.00,0.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,331.0,302.0,0.00,7.00,2.00,680.0
RED HILL,1.00,20.00,19.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,1.00,0.00,1.00,254.0,230.0,0.00,31.00,22.00,584.0
ALTAMAHA,0.00,52.00,36.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,4.00,1.00,0.00,613.0,530.0,0.00,119.0,64.00,1429.0
GARDI,0.00,8.00,15.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,206.0,184.0,0.00,9.00,5.00,432.0
MT PLEASANT,0.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,105.0,103.0,0.00,1.00,2.00,219.0
VFW,0.00,12.00,6.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,3.00,2.00,0.00,2.00,3.00,0.00,62.00,43.00,0.00,291.0,118.0,546.0
PINE STREET,0.00,20.00,16.00,0.00,4.00,1.00,0.00,1.00,0.00,0.00,3.00,4.00,0.00,3.00,3.00,0.00,191.0,154.0,0.00,144.0,73.00,617.0
UNITY,0.00,39.00,22.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,7.00,2.00,0.00,1.00,0.00,0.00,523.0,411.0,0.00,120.0,65.00,1192.0
REC CENTER,0.00,29.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,9.00,0.00,1.00,3.00,0.00,402.0,365.0,0.00,52.00,35.00,931.0
EAST JESUP,0.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,37.00,0.00,3.00,0.00,99.00
TOTAL,1.00,304.0,257.0,0.00,13.00,12.00,0.00,2.00,2.00,1.00,37.00,32.00,0.00,21.00,13.00,3.00,4489.0,3951.0,0.00,884.0,466.0,10488.0
