AGE GROUP,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
18-24,6.0,56.0,51.0,0.0,17.0,8.0,0.0,2.0,0.0,0.0,84.0,72.0,0.0,13.0,10.0,3.0,699.0,644.0,1.0,385.0,316.0,2367.0
25-29,0.0,24.0,20.0,0.0,8.0,22.0,0.0,1.0,2.0,0.0,46.0,59.0,0.0,4.0,4.0,1.0,716.0,629.0,0.0,476.0,360.0,2372.0
30-34,0.0,21.0,19.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,42.0,34.0,0.0,4.0,1.0,0.0,694.0,575.0,0.0,372.0,227.0,1994.0
35-39,1.0,24.0,19.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,28.0,24.0,0.0,4.0,2.0,0.0,703.0,607.0,0.0,355.0,217.0,1996.0
40-44,1.0,12.0,20.0,0.0,6.0,3.0,0.0,0.0,2.0,0.0,23.0,24.0,0.0,11.0,5.0,0.0,675.0,598.0,0.0,344.0,234.0,1958.0
45-49,0.0,7.0,13.0,0.0,6.0,5.0,0.0,4.0,0.0,0.0,25.0,24.0,0.0,5.0,9.0,0.0,751.0,609.0,1.0,324.0,238.0,2021.0
50-54,1.0,7.0,13.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,15.0,24.0,0.0,6.0,3.0,0.0,745.0,694.0,1.0,339.0,271.0,2124.0
55-59,1.0,11.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,10.0,14.0,0.0,5.0,4.0,0.0,787.0,686.0,0.0,334.0,262.0,2130.0
60-64,1.0,11.0,10.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,8.0,9.0,0.0,2.0,6.0,0.0,731.0,650.0,0.0,279.0,209.0,1923.0
65-OVER,0.0,17.0,25.0,0.0,7.0,10.0,0.0,1.0,2.0,0.0,10.0,17.0,0.0,8.0,11.0,2.0,1955.0,1594.0,0.0,549.0,382.0,4590.0
TOTAL,11.0,190.0,199.0,0.0,61.0,63.0,0.0,10.0,8.0,0.0,291.0,301.0,0.0,62.0,55.0,6.0,8456.0,7286.0,3.0,3757.0,2716.0,23475.0
