AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,26.32,25.71,29.27,0.0,12.82,38.85,39.85,38.3
30-34,23.53,36.36,41.46,0.0,56.52,49.76,51.56,49.4
35-39,28.0,39.36,52.38,66.67,47.06,57.48,56.33,56.6
40-44,54.17,47.52,58.82,0.0,21.05,62.28,57.77,61.1
45-49,45.83,50.0,48.78,0.0,61.54,66.79,59.49,65.45
50-54,47.62,54.64,56.0,66.67,60.0,68.52,57.4,67.05
55-59,36.84,63.93,64.29,50.0,57.89,71.41,63.53,70.44
60-64,36.84,68.52,83.33,0.0,33.33,74.95,66.41,73.83
65-OVER,52.63,71.19,39.13,50.0,42.86,70.53,64.45,69.97
TOTAL,39.46,50.85,49.46,37.5,40.54,63.86,56.44,62.56
