AGE GROUP,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
25-29,12.5,32.06,33.33,33.33,16.67,43.68,38.64,38.58
30-34,60.0,41.4,44.74,0.0,0.0,56.03,47.5,50.9
35-39,66.67,47.9,51.92,0.0,8.33,61.83,47.73,56.96
40-44,31.25,54.15,57.45,100.0,44.44,65.67,36.36,61.24
45-49,78.57,58.97,34.69,50.0,36.36,67.72,40.0,64.08
50-54,44.44,59.74,43.59,100.0,0.0,69.35,61.9,65.82
55-59,66.67,61.41,66.67,0.0,50.0,72.57,42.86,68.97
60-64,87.5,65.78,52.94,50.0,60.0,75.52,68.18,72.75
65-OVER,73.68,66.81,51.85,33.33,47.06,72.97,69.05,71.44
TOTAL,58.51,53.84,44.95,50.0,28.28,66.43,49.83,62.09
