AGE GROUP,TOTAL VOTERS,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE
25-29,614.0,0.0,33.0,20.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,9.0,5.0,0.0,1.0,1.0,0.0,294.0,244.0,0.0,1.0,0.0
30-34,697.0,0.0,34.0,25.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,8.0,5.0,0.0,2.0,1.0,0.0,317.0,300.0,0.0,1.0,1.0
35-39,682.0,1.0,16.0,16.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,356.0,283.0,0.0,2.0,1.0
40-44,856.0,1.0,15.0,20.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,2.0,0.0,421.0,381.0,0.0,1.0,0.0
45-49,1048.0,0.0,24.0,28.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,3.0,2.0,0.0,500.0,477.0,0.0,1.0,0.0
50-54,1206.0,3.0,30.0,24.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,582.0,542.0,0.0,4.0,5.0
55-59,1281.0,1.0,20.0,27.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,2.0,0.0,672.0,543.0,0.0,0.0,0.0
60-64,1223.0,0.0,22.0,27.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,627.0,534.0,0.0,1.0,0.0
65-OVER,3495.0,2.0,64.0,68.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,1.0,1724.0,1614.0,0.0,1.0,2.0
TOTAL,11102.0,8.0,258.0,255.0,0.0,16.0,21.0,0.0,1.0,3.0,1.0,43.0,33.0,0.0,18.0,12.0,1.0,5493.0,4918.0,0.0,12.0,9.0
