PRECINCT NAME,MALE,FEMALE,UNKNOWN,TOTAL
01,72.92,74.69,83.33,73.88
02,65.59,69.81,100.0,67.95
03,66.60,69.94,81.25,68.31
04,68.42,70.83,80.00,69.67
05,70.74,73.18,100.0,72.12
06,66.56,70.52,100.0,68.65
07,61.67,64.54,71.43,63.35
08,72.42,73.85,86.36,73.20
10,73.93,75.52,84.21,74.78
15,69.72,72.06,80.00,70.96
16,67.28,70.49,85.71,69.01
19,67.92,70.46,89.47,69.27
21,71.54,72.75,72.73,72.16
25,72.62,73.22,86.36,72.97
27,71.70,74.30,65.00,73.03
29,69.80,71.34,74.19,70.61
TOTAL,70.22,72.36,82.87,71.37
