PRECINCT NAME,UNKNOWN,UNKNOWN FEMALE,UNKNOWN MALE,OTHER UNKNOWN,OTHER FEMALE,OTHER MALE,NATIVE-AM UNKNOWN,NATIVE-AM FEMALE,NATIVE-AM MALE,HISP-LT UNKNOWN,HISP-LT FEMALE,HISP-LT MALE,ASIA-PI UNKNOWN,ASIA-PI FEMALE,ASIA-PI MALE,WHITE UNKNOWN,WHITE FEMALE,WHITE MALE,BLACK UNKNOWN,BLACK FEMALE,BLACK MALE,TOTAL
01,4.000,209.0,223.0,0.00,14.00,15.00,0.00,2.000,0.00,0.00,36.00,41.00,0.00,24.00,15.00,6.000,4020.0,3503.0,0.00,39.00,36.00,8187.0
02,2.000,139.0,141.0,0.00,16.00,15.00,0.00,2.000,2.000,0.00,95.00,139.0,0.00,64.00,69.00,3.000,2330.0,2055.0,0.00,127.0,92.00,5291.0
03,1.000,117.0,113.0,0.00,10.00,9.000,0.00,0.00,1.000,0.00,23.00,28.00,0.00,16.00,11.00,2.000,2125.0,1830.0,0.00,12.00,17.00,4315.0
04,0.00,16.00,16.00,0.00,1.000,1.000,0.00,0.00,0.00,0.00,14.00,15.00,0.00,10.00,17.00,0.00,301.0,259.0,0.00,12.00,12.00,674.0
05,0.00,21.00,34.00,0.00,4.000,3.000,0.00,1.000,0.00,0.00,34.00,57.00,0.00,19.00,6.000,0.00,363.0,272.0,0.00,31.00,18.00,863.0
06,1.000,90.00,115.0,0.00,6.000,13.00,0.00,2.000,1.000,0.00,61.00,69.00,0.00,24.00,27.00,1.000,1732.0,1580.0,0.00,31.00,32.00,3785.0
07,1.000,41.00,35.00,0.00,1.000,2.000,0.00,0.00,0.00,0.00,4.000,3.000,0.00,4.000,0.00,0.00,640.0,642.0,0.00,1.000,0.00,1374.0
88888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000
99999,0.00,1.000,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.000,6.000,0.00,0.00,0.00,15.00
TOTAL,9.000,634.0,678.0,0.00,52.00,58.00,0.00,7.000,4.000,0.00,267.0,352.0,0.00,162.0,145.0,12.00,11518.0,10147.0,0.00,253.0,207.0,24505.0
